type,item,n,itemCorrect,catCorrect
clothing,capable of causing property damage,1,damaging to school property,
clothing,causes embarrassment to others,1,,
clothing,causes excessive maintenance problems,1,damaging to school property,
clothing,causes excessive wear or damage to school property,1,damaging to school property,
clothing,clothing items of predominately one color,1,,
clothing,clothing not worn according to its design,1,clothing not worn in the intended manner,
clothing,clothing not worn in the intended manner,1,,
clothing,clothing not worn with original design,1,clothing not worn in the intended manner,
clothing,clothing that calls undue attention,1,,
clothing,clothing that calls undue attention to anatomical details,1,clothing that calls undue attention,
clothing,clothing that causes maintenance problems,1,damaging to school property,
clothing,clothing that impedes walking,1,,
clothing,clothing which calls attention to the body,1,clothing that calls undue attention,
clothing,clothing with cutouts,1,,
clothing,clothing worn in a manner inconsistent with intended design,1,clothing not worn in the intended manner,
clothing,clothing worn inappropriately,1,clothing not worn in the intended manner,
clothing,coed naked shirts,1,,
clothing,costume,1,costumes,
clothing,coveralls,1,,
clothing,cut-off sweat pants,1,,
clothing,damaging,1,damaging to school property,
clothing,dance clothes,1,,
clothing,dangerously loose sleeves,1,,
clothing,demeaning,1,,
clothing,destructive to people,1,,
clothing,destructive to property,1,damaging to school property,
clothing,discourteous,1,,
clothing,disguise,1,,
clothing,disruptive,1,disruptive attire,
clothing,disruptive attire,1,,
clothing,distasteful,1,,
clothing,draw attention to chest,1,,
clothing,draws excessive attention to an individual,1,clothing that calls undue attention,
clothing,entire camouflage outfits,1,full body camouflage,
clothing,excessive clothing in predominantly one color,1,clothing items of predominately one color,
clothing,excessive rips or holes,1,excessively torn,
clothing,excessively large holes,1,excessively torn,
clothing,excessively torn clothing,1,excessively torn,
clothing,extremes,1,,
clothing,face not visible,1,hides face,
clothing,formfitting,1,,
clothing,full body camouflage,1,,
clothing,gender appropriate,1,,
clothing,graffiti-style writing,1,,
clothing,hides face,1,,
clothing,holes above the knee,1,,
clothing,holes in areas that clothing is required to cover,1,holes in inappropriate areas,
clothing,holes in inappropriate areas,1,,
clothing,holes in inappropriate places,1,holes in inappropriate areas,
clothing,holes that expose large areas of skin,1,,
clothing,holes that expose skin,1,,
clothing,improper,1,,
clothing,in disrepair,1,in bad repair,
clothing,inappropriately altered,1,,
clothing,indecent,1,,
clothing,indecent holes,1,,
clothing,insufficient covering,1,,
clothing,insufficiently covering body,1,insufficient covering,
clothing,item that obscures the face or ears,1,hides face,
clothing,jumpsuits,1,,
clothing,military fatigue,1,full body camouflage,
clothing,minimal coverage,1,,
clothing,mutilated,1,,
clothing,non-respectable condition,1,,
clothing,not conducive to learning,1,,
clothing,not worn appropriately,1,clothing not worn in the intended manner,
clothing,old English style writing,1,,
clothing,onesie pajamas,1,,
clothing,outdoor clothing,1,outerwear,
clothing,outerwear,1,,
clothing,outline of private parts visible,1,,
clothing,oversized pockets,1,,
clothing,professional sports team clothing,1,,
clothing,provide minimum coverage,1,,
clothing,provocative,1,,
clothing,ragged,1,in bad repair,
clothing,reasonably well-fitting,1,,
clothing,restricts movement,1,,
clothing,results in school maintenance problems,1,damaging to school property,
clothing,scrubs,1,,
clothing,skimpy,1,,
clothing,skimpy lounge-wear,1,,
clothing,sling,1,,
clothing,socially unacceptable,1,,
clothing,too long,1,,
clothing,trousers with metal rivets that scratch furniture,1,damaging to school property,
clothing,un-hemmed,1,,
clothing,undergarments as outergarments,1,,
clothing,unfastened bib overall,1,unfastened overalls,pants
clothing,unfastened straps,1,,
clothing,ungroomed,1,,
clothing,unsafe,1,,
clothing,unsanitary,1,,
clothing,unusual,1,,
clothing,variance from community standards,1,,
clothing,wet suits,1,,
clothing,with holes in inappropriate locations,1,with holes in inappropriate places,
clothing,with holes in inappropriate places,1,,
clothing,with holes that reveal undergarments,1,,
clothing,writing on the buttocks,1,,
clothing,writing other than school spirit,1,,
footwear,bare feet,196,,
footwear,slippers soft sole shoes,117,,
footwear,roller blades shoes with wheels,35,,
footwear,unsafe,23,,
footwear,cleats,22,,
footwear,flip flops,13,,
footwear,steel toe boots,12,,
footwear,stocking feet,5,,
footwear,tap shoes,3,,
footwear,high heels stilettos,2,,
footwear,beach shoes,1,,
footwear,boots with nails,1,,
footwear,causes floor marking,1,damaging to school property,
footwear,damages floor,1,damaging to school property,
footwear,destructive to school property,1,damaging to school property,
footwear,footwear that marks the floors,1,damaging to school property,
footwear,hard cleats,1,cleats,
footwear,heel taps,1,tap shoes,
footwear,heels taller than 2 inches,1,high heels stilettos,
footwear,house shoes,1,slippers soft sole shoes,
footwear,ill fitting shoes,1,,
footwear,inappropriate,1,,
footwear,metal shoes,1,,
footwear,Nike Cortez shoes,1,,
footwear,novelty footwear,1,,
footwear,open toe shoes,1,,
footwear,overshoes,1,,
footwear,platform flip flops,1,,
footwear,sandals without a back strap,1,,
footwear,shoe cleats,1,cleats,
footwear,shoes higher than 1 inch,1,,
footwear,shoes that mark the floor,1,damaging to school property,
footwear,shoes that mark the floors,1,damaging to school property,
footwear,shoes that scratch floors,1,damaging to school property,
footwear,shoes with metal tips,1,,
footwear,shoes with sharp studs,1,shoes with spikes,
footwear,shoes with spikes,1,,
footwear,shower shoes,1,,
footwear,slide-on shoes,1,,
footwear,slip on clogs,1,,
footwear,sock feet,1,stocking feet,
footwear,sock shoes,1,stocking feet,
footwear,spikes,1,shoes with spikes,
footwear,spurs,1,,
footwear,strapless sandals,1,strapless shoes,
footwear,strapless shoes,1,,
footwear,taps,1,tap shoes,
footwear,that can damage school property,1,damaging to school property,
footwear,toe taps,1,tap shoes,
footwear,unlaced shoes,1,,
footwear,unmatching shoes,1,,
footwear,unsanitary,1,,
footwear,water shoes,1,,
grooming,piercings other than ear lobes,57,,
grooming,disruptive  hair color,43,,
grooming,disruptive hairstyles,35,,
grooming,hairstyles that obstruct vision,26,,
grooming,dirty hair,25,,
grooming,untidy hair,20,,
grooming,earrings,18,,
grooming,visible tattoos,18,,
grooming,combs picks worn in hair,15,,
grooming,ungroomed hair,15,,
grooming,facial hair,14,,
grooming,mohawks,14,,
grooming,face paint,13,,
grooming,inappropriate tattoos,10,,
grooming,razor cut in eyebrows,10,,
grooming,dirty,8,dirty body,
grooming,designs in hair,7,designs cut in hair,
grooming,hair rollers,6,,
grooming,make-up,6,,
grooming,costume contact lenses,5,,
grooming,pony tails,5,ponytails,
grooming,untidy,5,,
grooming,dirty body,3,,
grooming,excessive make-up,3,,
grooming,faux hawks,3,,
grooming,nail polish,3,,
grooming,ponytails,3,,
grooming,rat-tails,3,,
grooming,tails,3,,
grooming,bad hygiene,2,,
grooming,beards,2,,
grooming,braids in hair,2,braids,
grooming,designs cut in hair,2,designs cut in hair,
grooming,designs shaved in hair,2,designs cut in hair,
grooming,dirty facial hair,2,,
grooming,gang related tattoos,2,,
grooming,goatees,2,,
grooming,half-shaved heads,2,,
grooming,offensive tattoos,2,,
grooming,spiked hair,2,,
grooming,ungroomed,2,,
grooming,ungroomed facial hair,2,,
grooming,unsafe grooming,2,,
grooming,untidy facial hair,2,,
grooming,writing on body,2,,
grooming,asymmetrical haircuts,1,,
grooming,bad grooming,1,bad hygiene,
grooming,bad taste hair,1,,
grooming,beads,1,,
grooming,body drawings,1,,
grooming,body paint,1,,
grooming,braids,1,,
grooming,bushy,1,,
grooming,colored hair spray,1,,
grooming,corn rows longer than the top of the t-shirt collar,1,,
grooming,cosmetics used with discretion,1,excessive make-up,
grooming,curlers,1,hair rollers,
grooming,cut designs,1,designs cut in hair,
grooming,design cut into hair,1,designs cut in hair,
grooming,designer contacts,1,costume contact lenses,
grooming,designs cut into hair,1,designs cut in hair,
grooming,designs in the hair,1,designs cut in hair,
grooming,designs shaved into hair,1,designs cut in hair,
grooming,dirty clothing,1,,
grooming,disruptive piercings,1,,
grooming,disruptive tattoos,1,,
grooming,distracting contacts,1,costume contact lenses,
grooming,distracting facial hair,1,,
grooming,distracting hair accessories,1,,
grooming,distracting piercings,1,,
grooming,drawing on skin,1,writing on body,
grooming,dread locks longer than the top of the t-shirt collar,1,,
grooming,ducktails,1,,
grooming,exaggerated tattoos,1,,
grooming,excessive body odor,1,,
grooming,excessive cologne,1,excessive fragrance/cologne,
grooming,excessive facial hair,1,,
grooming,excessive fragrance,1,excessive fragrance/cologne,
grooming,excessive fragrance/cologne,1,,
grooming,excessive hair length,1,,
grooming,excessive perfume/body spray,1,excessive fragrance/cologne,
grooming,excessive tattoos,1,,
grooming,excessive writing on the body,1,,
grooming,extreme hair designs,1,extreme hair styles,
grooming,extreme hair styles,1,,
grooming,facial art,1,,
grooming,facial hair other than a mustache,1,,
grooming,facial hair other than mustaches,1,facial hair other than a mustache,
grooming,feathers braided into hair,1,,
grooming,gang tattoos,1,gang-related tattoos,
grooming,gang-related tattoos,1,,
grooming,geometric patterns in hair,1,,
grooming,gothic look,1,,
grooming,gothic make-up,1,gothic look,
grooming,hair accessories,1,,
grooming,hair accessories in bad taste,1,,
grooming,hair below the bottom of the earlobe,1,long hair,
grooming,hair clips,1,,
grooming,hair covering more than 1/2 of ear,1,long hair,
grooming,hair curled to shorten,1,,
grooming,hair exceeding top of the ear,1,long hair,
grooming,hair extend below collar of shirt,1,long hair,
grooming,hair extend beyond top of the collar,1,long hair,
grooming,hair extend over collar,1,long hair,
grooming,hair extend past top of collar,1,long hair,
grooming,hair extend past top of eyebrows,1,long hair,
grooming,hair extending below the ear lobes,1,long hair,
grooming,hair extending below the top of a t-shirt collar,1,long hair,
grooming,hair gelled to shorten,1,,
grooming,hair layer lengths > 2 inches,1,,
grooming,hair longer than 2 inches,1,long hair,
grooming,hair longer than 3 inches in height or width in an afro,1,,
grooming,hair longer than 3 inches in height or width in an updo,1,,
grooming,hair longer than earlobe,1,long hair,
grooming,hair longer than the bottom of a shirt color,1,long hair,
grooming,hair longer than the bottom of the ear,1,long hair,
grooming,hair longer than the collar of a shirt,1,long hair,
grooming,hair longer than the top of a shirt collar,1,long hair,
grooming,hair paint,1,,
grooming,hair pinned,1,,
grooming,hair shorter than the top of the collar,1,long hair,
grooming,hair that extends below the top of a t-shirt collar,1,long hair,
grooming,hair that extends past top of shirt collar,1,long hair,
grooming,hair that is spiked over 1 inch,1,,
grooming,hair that touches the shirt collar in back,1,long hair,
grooming,hair that touches the shoulder,1,long hair,
grooming,hair trimmed off the ears,1,long hair,
grooming,hazardous hair length,1,,
grooming,headbands to meet hair length requirements,1,,
grooming,highlighting hair,1,,
grooming,impede the ability to see a student's face,1,,
grooming,inappropriate body art,1,,
grooming,inappropriately faded faux hawks,1,,
grooming,intricate hair,1,,
grooming,large earrings,1,,
grooming,liberty spikes,1,,
grooming,long facial hair,1,,
grooming,man bun,1,,
grooming,more than 2 earrings per ear,1,,
grooming,more than a single nose piercing,1,,
grooming,more than one ear piercing per ear,1,,
grooming,more than one stud earring,1,,
grooming,multicolor hair,1,multicolored hair,
grooming,multicolored hair,1,,
grooming,mustaches extending past corners of mouth,1,,
grooming,neon hair,1,,
grooming,no extreme designs cut in hair,1,designs cut in hair,
grooming,non-permanent hair color,1,,
grooming,obnoxious odor,1,,
grooming,obscene tattoos,1,,
grooming,offending tattoos,1,,
grooming,only one nose stud facial piercing,1,more than a single nose piercing,
grooming,partially shaved hair,1,,
grooming,piercings other than ear or small stud in nose,1,,
grooming,piercings other than earrings and nose ring studs,1,piercings other than ear or small stud in nose,
grooming,pigtails,1,,
grooming,poorly groomed,1,,
grooming,poorly groomed hair,1,,
grooming,puffball,1,,
grooming,rattails,1,rat-tails,
grooming,ribbons,1,,
grooming,ribbons in bad taste,1,,
grooming,shaved,1,,
grooming,shower caps,1,,
grooming,sideburns longer than bottom of ear,1,,
grooming,skin decorations,1,,
grooming,spiked hair above 3 inches,1,,
grooming,spikes,1,spiking,
grooming,spiking,1,,
grooming,streaked hair,1,,
grooming,stripes,1,,
grooming,tattoos if under age 16,1,,
grooming,tattoos with explicit content,1,,
grooming,unclean,1,,
grooming,unclean hair,1,,
grooming,unnatural contact lens color,1,costume contact lenses,
grooming,unnatural contacts,1,costume contact lenses,
grooming,unnatural hair,1,unnaturally groomed hair,
grooming,unnaturally groomed hair,1,,
grooming,unreasonable length hair,1,,
grooming,unreasonably styled,1,,
grooming,unsafe body piercings,1,,
grooming,unsanitary,1,,
grooming,untrimmed facial hair,1,untidy facial hair,
grooming,unusual grooming,1,,
grooming,unusual hair designs,1,,
grooming,unusual make-up,1,,
grooming,unusual patterns in hair,1,designs cut in hair,
grooming,visible gang-related tattoos,1,,
grooming,visible temporary body markings,1,,
grooming,wearing a scent that has a negative impact on others,1,,
grooming,writing on others,1,writing on body,
grooming,writing on self,1,writing on body,
grooming,writing on skin,1,writing on body,
grooming,writing or drawing on skin,1,writing on body,
headwear,hats,230,,
headwear,bandanas,151,,
headwear,head coverings,127,,
headwear,hoods,122,,
headwear,caps,109,,
headwear,Are there exemptions for headwear,72,,
headwear,scarves,43,,
headwear,sweat bands,31,,
headwear,do rags,26,,
headwear,beanie skull cap,24,,
headwear,headbands,24,,
headwear,hair nets,18,,
headwear,visors,18,,
headwear,stocking caps,8,,
headwear,handkerchiefs,5,,
headwear,head wraps,3,scarves,
headwear,altered hats,2,,
headwear,berets,2,,
headwear,headgear,2,,
headwear,ridiculous hats,2,,
headwear,altered visors,1,,
headwear,arm bands,1,,accessories
headwear,backpacks,1,,accessories
headwear,cover face,1,,
headwear,ear muffs,1,earmuffs,accessories
headwear,earmuffs,1,,accessories
headwear,face coverings,1,,
headwear,handkerchief,1,,
headwear,headbands > 1 inch,1,headbands,
headwear,headbands wider than 2 inches,1,headbands,
headwear,headgear that extends below the front hairline,1,,
headwear,headwear that obscures a students identity,1,,
headwear,non-forward facing hats,1,,
headwear,non-Rosemont beanies,1,,
headwear,obstructs vision,1,,
headwear,pantyhose head covers,1,stocking caps,
headwear,rollers,1,hair rollers,grooming
headwear,shawl,1,,
headwear,shower caps,1,,
headwear,ski masks,1,,
headwear,snoods,1,,
headwear,sock caps,1,,
headwear,towels,1,,
headwear,turbans,1,,
headwear,wave caps,1,,
headwear,wraps,1,scarves,
length,short shorts,241,,
length,short skirts,208,,
length,short dresses,122,,
length,short skorts,12,,
length,short pants,7,,
length,short jumpers,4,,
length,short capris,1,,
length,short clothing,1,,
length,short shirts,1,,
length,short tunics,1,,
pants,sagging rest below waist,156,,
pants,leggings yoga pants  without cover,82,,
pants,with holes above mid thigh,45,,
pants,un hemmed,22,,
pants,with holes above knee,20,,
pants,with holes,16,,
pants,leggings yoga pants  with cover,10,,
pants,with holes in inappropriate areas,3,,
pants,athletic pants,2,,
pants,low cut pants,2,,
pants,low riding pants,2,low cut pants,
pants,sweat pants,2,,
pants,sweatpants,2,sweat pants,
pants,transparent leggings,2,,
pants,unfastened overalls,2,unfastened overalls,
pants,with holes in inappropriate places,2,,
pants,above mid-calf,1,,
pants,absence of bottoms,1,,
pants,belt loops without a belt,1,,
pants,bib overalls without a shirt,1,,
pants,breakaway pants,1,,
pants,dangerously long pants,1,,
pants,dangling ends on overalls,1,,
pants,deep pocketed,1,,
pants,drag on the floor,1,dangerously long pants,
pants,excessively long,1,dangerously long pants,
pants,excessively tattered,1,,
pants,excessively torn,1,,
pants,extend beyond the heel of the shoe,1,dangerously long pants,
pants,form-fitting pants(without cover),1,,
pants,hip hugger jeans,1,,
pants,large legged,1,,
pants,leggings that are transparent,1,transparent leggings,
pants,leggings with cut out sides,1,,
pants,leggings with vented panels or cut-outs above the knee,1,,
pants,legs dragging floor,1,dangerously long pants,
pants,leotards,1,,
pants,low rider pants,1,low cut pants,
pants,low rise jeans,1,low cut pants,
pants,low slung pants,1,low cut pants,
pants,low-cut waistlines,1,low cut pants,
pants,low-riding,1,low cut pants,
pants,mesh material above mid-thigh,1,,
pants,not wearing both straps on overalls,1,unfastened overalls,
pants,overall straps unfastened,1,unfastened overalls,
pants,overalls not buckled on both sides,1,unfastened overalls,
pants,overalls not worn over shoulders,1,,
pants,overalls without the straps fastened,1,unfastened overalls,
pants,overalls worn without both suspenders fastened,1,unfastened overalls,
pants,oversized,1,,
pants,pant legs not being worn to their full length,1,rolled up pant leg,
pants,pant legs not worn below calf,1,rolled up pant leg,
pants,"pant legs wider than 13""",1,,
pants,pant length extending past the heel of the shoe,1,dangerously long pants,
pants,pants that drag on the floor,1,dangerously long pants,
pants,pants with belt loops and no belt,1,belt loops without a belt,
pants,pants with excessive tears,1,excessively torn,
pants,pants with metal rivets that scratch furniture,1,damaging to school property,clothing
pants,pants without two back pockets and a front zipper,1,,
pants,rolled at the waist,1,,
pants,rolled up pant leg,1,,
pants,sheer material above mid-thigh,1,,
pants,shorts,1,,
pants,single raised pant leg,1,rolled up pant leg,
pants,skorts,1,,
pants,snap away pants,1,breakaway pants,
pants,surf pants,1,,
pants,suspenders not worn over shoulders,1,,
pants,tights(without cover),1,leggings yoga pants without cover,
pants,unbuckled overall straps,1,unfastened overalls,
pants,unfastened pants,1,,
pants,unfastened straps,1,,
pants,unzipped,1,,
pants,vintage distressed wash,1,,
pants,wind pants,1,,
pants,with excessive holes,1,excessively torn,
pants,with holes 2 inches above the knee,1,,
pants,with holes above knee without tights,1,,
pants,with holes more than 3 inches above knee,1,,
pants,with holes that expose midriff,1,,
pants,with holes that expose undergarments,1,,
pants,with revealing holes,1,,
pants,with writing on seat,1,words printed across the rear,
pants,words printed across the rear,1,,
pants,worn high enough to allow for exposure,1,,
pants,worn low enough to allow for exposure,1,,
pants,writing across the seat,1,words printed across the rear,
pants,zipper less pants,1,,
promotion,4-letter word messages,1,,
promotion,abusive,2,,
promotion,alcohol,286,,
promotion,anarchy,1,,
promotion,anti-social,1,anti-social behavior,
promotion,anti-social behavior,2,,
promotion,antisocial behavior,1,anti-social behavior,
promotion,Aryan nation,1,,
promotion,Aryan nation),1,Aryan nation,
promotion,bad taste,2,,
promotion,birth control,2,,
promotion,blood,1,,
promotion,condoms,2,,
promotion,confederate flag,2,,
promotion,confederate flags,2,confederate flag,
promotion,Confederate Flags,1,confederate flag,
promotion,controlled substances,1,,
promotion,controversial,6,,
promotion,criminal behavior,1,,
promotion,criminal groups,1,,
promotion,cult,7,cults,
promotion,cults,1,,
promotion,dark imagery,1,,
promotion,death,9,,
promotion,death symbols,1,death,
promotion,defamatory,1,,
promotion,defensive,1,,
promotion,demeaning phrases,1,,
promotion,derogatory,1,,
promotion,discriminatory,139,,
promotion,disrespectful,1,,
promotion,disruptive,1,,
promotion,disrupts the school environment,1,disruptive,
promotion,distasteful wording,1,,
promotion,double entendre,1,double meanings,
promotion,double meaning,10,double meanings,
promotion,double meanings,9,double meanings,
promotion,drugs,256,,
promotion,dual meanings,1,double meanings,
promotion,fighting words,3,,
promotion,firearms,1,weapons,
promotion,flags disrespectfully portrayed,1,,
promotion,fraternity affiliation,1,,
promotion,gambling,2,,
promotion,gangs,206,,
promotion,gore,1,,
promotion,gothic,1,,
promotion,graffiti,1,,
promotion,groups that promote hate (KKK,1,KKK,
promotion,groups that promote illegal activities,1,,
promotion,hazardous to one's health,1,,
promotion,illegal,2,illegal activities,
promotion,illegal activities,3,,
promotion,illegal activity,1,illegal activities,
promotion,illegal for minors,13,illegal for minors,
promotion,illegal substances,5,,
promotion,illegal to minors,5,illegal for minors,
promotion,immoral,1,,
promotion,immoral act,1,immoral,
promotion,immorality,4,immoral,
promotion,inappropriate,1,inappropriate,
promotion,inappropriate attitudes,1,inappropriate,
promotion,inappropriate messages,1,inappropriate,
promotion,inappropriate numbers,1,inappropriate,
promotion,inappropriate speech,1,inappropriate,
promotion,inhalant delivery systems,1,,
promotion,innuendo,4,double meanings,
promotion,innuendos,1,double meanings,
promotion,Insane Clown Posse,1,,
promotion,intimidating,1,intimidation,
promotion,intimidation,1,,
promotion,Ku Klux Klan,1,KKK,
promotion,non sanctioned clubs,1,non-school sponsored clubs or groups,
promotion,non-school sponsored clubs or groups,1,,
promotion,nude,1,nudity,
promotion,nudity,11,,
promotion,obscene,149,,
promotion,obsene,1,obscene,
promotion,occult,5,,
promotion,ocscene,1,obscene,
promotion,offensive,84,,
promotion,para-military:na,1,para-military,
promotion,play on words,1,double meanings,
promotion,police,1,,
promotion,political language,2,,
promotion,poor taste,2,,
promotion,pornography,4,,
promotion,products illegal for use by minors,1,illegal for minors,
promotion,prohibited items,1,,
promotion,promotes antisocial behavior,1,anti-social behavior,
promotion,provocative,1,,
promotion,provoking sayings,1,,
promotion,put-downs,1,,
promotion,questionable,1,,
promotion,racial intimidation,1,racism,
promotion,racism,1,,
promotion,reference to subversion,1,,
promotion,references to body parts,1,,
promotion,referring to male or female anatomy,1,,
promotion,satanic,3,Satanic,
promotion,Satanic,2,,
promotion,Satanic cult,1,Satanic,
promotion,satanic symbols,1,Satanic,
promotion,Satanism,3,Satanic,
promotion,secret societies,1,,
promotion,security,1,,
promotion,self harm,1,,
promotion,sex,32,sex,
promotion,sexual,10,sex,
promotion,sexual activities,1,sex,
