schoolName,state,website,stateAbb,schoolType,charterSchool,magnetSchool,locale,totalStudents,lowestGrade,highestGrade,totalRace,raceNative,raceAsian,raceHispanic,raceBlack,raceWhite,raceHawaiian,raceMultiple,studentTeacherRatio,teacherCount,matches,pWhite,pBlack,pHispanic,dressCode,handbookYear,uniform,entered
ELISE P. BUCKINGHAM CHARTER MAGNET HIGH,California,http://buckingham.vacavilleusd.org,CA ,1-Regular school,1-Yes,1-Yes,23-Suburb: Small,454,9th Grade,12th Grade,454,4,36,82,34,245,1,52,22.89,19.83,handbook,54,7,18,http://buckingham.schoolloop.com/file/1186552817612/1409207329184/1829402655829355290.pdf,2018-2019,FALSE,
CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES,Oregon,www.district6.org/cahps/,OR ,1-Regular school,2-No,NA,22-Suburb: Mid-size,467,9th Grade,12th Grade,467,8,2,52,4,378,2,21,21.23,22,handbook,81,1,11,http://blogs.district6.org/cahps/wp-content/uploads/2017/02/CraterCampusStudentHandbook.pdf,2018-2019,FALSE,y
ROCKFORD HIGH SCHOOL,Michigan,www.rockfordschools.org,MI ,1-Regular school,2-No,2-No,21-Suburb: Large,1904,9th Grade,12th Grade,1904,1,46,75,10,1703,0,69,22.86,83.29,handbook,89,1,4,http://www.rockfordschools.org/wp-content/uploads/2017/09/RHS_STUDENT-HANDBOOK-2017-18-DONE-pdf.pdf,2018-2019,FALSE,skip - wrong year
GRAND LEDGE HIGH SCHOOL,Michigan,www.glcomets.net,MI ,1-Regular school,2-No,2-No,21-Suburb: Large,1710,9th Grade,12th Grade,1710,4,41,122,110,1413,3,17,19.53,87.55,handbook,83,6,7,http://www.glcomets.net/downloads/district/glhs_hdbk_2018-2019.pdf,2018-2019,FALSE,y
DAVID PROUTY HIGH,Massachusetts,www.sebrsd.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,396,9th Grade,12th Grade,396,0,5,30,2,339,0,20,12.09,32.76,handbook,86,1,8,http://www.sebrsd.org/sites/sebrsd/files/file/file/2018-2019_student_handbook_.pdf,2018-2019,FALSE,y
TARKINGTON H S,Texas,www.tarkingtonisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,526,9th Grade,12th Grade,526,2,0,42,5,476,0,1,11.02,47.72,handbook,90,1,8,https://s3.amazonaws.com/scschoolfiles/566/2018-19_student_handbook__code_of_conduct_1.pdf,2018-2019,FALSE,y
SOUTH GLENS FALLS SENIOR HIGH SCHOOL,New York,www.sgfcsd.org,NY ,1-Regular school,2-No,2-No,23-Suburb: Small,996,9th Grade,12th Grade,996,0,6,15,11,959,NA,5,14.58,68.31,guide,96,1,2,https://www.sgfcsd.org/2018-19-south-glens-falls-high-school-handbook/#Section-II,2018-2019,FALSE,y
AFFTON HIGH,Missouri,www.afftonschools.net,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,773,9th Grade,12th Grade,773,0,25,33,70,601,1,43,16.87,45.81,handbook,78,9,4,https://docs.google.com/document/d/1x5ze2QvH4FG3yu_F1FX9HCPJ17pjXVg5Vex__1Paq0U/edit,2018-2019,FALSE,y
AZLE H S,Texas,www.azleisd.net,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,1761,9th Grade,12th Grade,1761,10,10,333,14,1350,1,43,15.74,111.91,guide,77,1,19,https://www.azleisd.net/cms/lib6/TX01917633/Centricity/domain/4/parents/2018-2019/PAR180803AHS18-19StudentHandbook.pdf,2018-2019,FALSE,y
LURAY HIGH,Virginia,http://eclipse.pagecounty.k12.va.us/lhs/index.htm,VA ,1-Regular school,2-No,2-No,32-Town: Distant,514,9th Grade,12th Grade,514,2,4,10,20,454,0,24,14.29,35.98,handbook,88,4,2,https://docs.google.com/document/d/1jgAFrRhk6S5W1FJAtfXh26sMQ0jkO0e_-spwgGDuflg/edit#heading=h.dn66xflpgz8o,2018-2019,FALSE,y
LEBANON SR. HIGH,Missouri,www.lebanon.k12.mo.us,MO ,1-Regular school,2-No,2-No,33-Town: Remote,1463,9th Grade,12th Grade,1463,15,16,50,20,1313,2,47,19.12,76.52,handbook,90,1,3,https://drive.google.com/drive/u/0/folders/0B10t7fCvnextQUJNeFlYWmlhREE,2018-2019,FALSE,y
HIGLEY HIGH SCHOOL,Arizona,http://www.husd.org/hhs,AZ ,1-Regular school,2-No,–,21-Suburb: Large,1670,9th Grade,12th Grade,1670,4,82,336,82,1107,6,53,24.06,69.4,guide,66,5,20,https://www.husd.org/cms/lib/AZ01001450/Centricity/Domain/740/CodeofConduct.pdf,2018-2019,FALSE,y
APPOQUINIMINK HIGH SCHOOL,Delaware,www.appohigh.org/,DE ,1-Regular school,2-No,2-No,41-Rural: Fringe,1589,9th Grade,12th Grade,1589,4,73,94,397,996,2,23,17.46,91,manual,63,25,6,http://www.apposchooldistrict.com/ourpages/auto/2012/6/1/52845115/2018-19%20Code%20of%20Conduct_English.pdf,2018-2019,FALSE,y
QUANAH H S,Texas,www.qisd.net/,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,151,9th Grade,12th Grade,151,1,2,56,1,86,0,5,8.4,17.98,guide,57,1,37,https://drive.google.com/file/d/16SJ0mGYJyJ9cPfShPqsa0OwPRq6oDfu5/view,2018-2019,FALSE,y
RHAM HIGH SCHOOL,Connecticut,www.rhamhs.reg8.k12.ct.us/,CT ,1-Regular school,2-No,2-No,41-Rural: Fringe,1023,9th Grade,12th Grade,1023,0,20,18,3,978,0,4,11.32,90.4,handbook,96,0,2,http://www.rhamhs.reg8.k12.ct.us/UserFiles/Servers/Server_291198/File/High%20School/2018/StudentHandbook2018-2019%20082118.pdf,2018-2019,FALSE,y
LYNNVILLE-SULLY HIGH SCHOOL,Iowa,www.lshawks.org,IA ,1-Regular school,2-No,NA,43-Rural: Remote,146,9th Grade,12th Grade,146,2,0,0,3,139,0,2,14.04,10.4,handbook,95,2,0,https://drive.google.com/file/d/1UTbkUApgWTwoeHMl_5TCXtjnChJeMR8G/view,2018-2019,FALSE,y
GRANDVIEW SR. HIGH,Missouri,www.csd4.k12.mo.us,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,1230,9th Grade,12th Grade,1230,1,8,176,723,258,1,63,18.93,64.97,guide,21,59,14,https://4.files.edl.io/4205/07/02/18/032908-b465db83-de9d-45d5-9c6f-03d331361e59.pdf,2018-2019,FALSE,y
FONTANA HIGH,California,www.fusd.net,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,2509,9th Grade,12th Grade,2509,2,18,2327,72,76,9,5,20.47,122.54, dress,3,3,93,http://www.fusdweb.com/sites/hs/abmiller/Shared%20Documents/Student%20Handbook.pdf,2018-2019,FALSE,y
WHITMAN HANSON REGIONAL,Massachusetts,www.whrsd.org/whs,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1191,9th Grade,12th Grade,1191,4,7,24,17,1113,0,26,19.44,61.28,handbook,93,1,2,https://www.whrsd.org/uploaded/documents/District_Information/School_Handbooks/18-19_High_School_Handbook_Final.pdf,2018-2019,FALSE,y
HARLOWTON HIGH SCHOOL,Montana,www.harlowton.k12.mt.us,MT ,1-Regular school,NA,2-No,43-Rural: Remote,71,9th Grade,12th Grade,71,2,0,0,4,65,0,0,9.37,7.58,appearance,92,6,0,https://docs.wixstatic.com/ugd/181b3f_ec1055ce8b434cb89e993740a6ba623b.pdf,2018-2019,FALSE,y
OAK CREEK HIGH,Wisconsin,www.ocfsd.org,WI ,1-Regular school,2-No,2-No,21-Suburb: Large,2088,9th Grade,12th Grade,2088,12,129,295,111,1498,4,39,20.12,103.8,handbook,72,5,14,https://docs.google.com/document/d/1TGO5g6ESmeCZ_URJLFAaikcXvHE9XvcphwWEBJ5m30I/edit,2018-2019,FALSE,y
CLASSEN HS OF ADVANCED STUDIES,Oklahoma,www.okcps.org,OK ,1-Regular school,2-No,NA,11-City: Large,501,9th Grade,12th Grade,501,20,73,92,71,230,0,15,11.39,43.99,guide,46,14,18,https://www.okcps.org/cms/lib/OK01913268/Centricity/Domain/1001/OKCPS%20Parent%20and%20Student%20Handbook%2018-19.pdf,2018-2019,FALSE,skip - uniform
MARATHON HIGH,Wisconsin,www.marathon.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,237,9th Grade,12th Grade,237,1,2,4,0,229,0,1,13.17,18,guide,97,0,2,https://www.marathon.k12.wi.us/families/Student%20Handbook18-19.pdf,2018-2019,FALSE,y
AKRON EARLY COLLEGE HIGH SCHOOL,Ohio,www.akronschools.com,OH ,1-Regular school,2-No,–,12-City: Mid-size,343,9th Grade,12th Grade,343,0,47,15,135,124,0,22,49,7,guide,36,39,4,https://barberclc.akronschools.com/UserFiles/Servers/Server_409079/File/Departments/Student%20Support%20and%20Security/Student%20Code%20of%20Behavior.pdf,2018-2019,FALSE,y
RIALTO HIGH,California,http://rhs-rialto-ca.schoolloop.com/,CA ,1-Regular school,2-No,2-No,12-City: Mid-size,2716,9th Grade,12th Grade,2716,2,58,2376,177,83,7,13,25.04,108.46,handbook,3,7,87,http://rhs-rialto-ca.schoolloop.com/file/1373438326967/1473924515929/2002499828290766283.pdf,2018-2019,FALSE,skip - wrong year
BONNEY LAKE HIGH SCHOOL,Washington,www.sumnersd.org,WA ,1-Regular school,2-No,–,21-Suburb: Large,1335,9th Grade,12th Grade,1335,15,28,157,19,1010,5,101,21.37,62.47,manual,76,1,12,https://docs.google.com/viewerng/viewer?url=https://www.sumnersd.org//cms/lib/WA01919505/Centricity/Domain/831/Student+Handbook+18-19.pdf,2018-2019,FALSE,y
ROGERS H S,Texas,www.rogersisd.org,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,300,9th Grade,12th Grade,300,0,1,80,6,210,0,3,12.2,24.6,guide,70,2,27,https://4.files.edl.io/c4d8/08/20/18/145155-2b06d775-1440-4129-8e8e-c638d5675bc8.pdf,2018-2019,FALSE,y
JIM THORPE AREA HS,Pennsylvania,http://www.jimthorpesd.org,PA ,1-Regular school,2-No,2-No,31-Town: Fringe,587,9th Grade,12th Grade,587,2,6,75,58,440,1,5,13.43,43.71,handbook,75,10,13,http://www.jimthorpesd.org/common/pages/DisplayFile.aspx?itemId=10188104,2018-2019,FALSE,skip - uniform
ATHENS HIGH,Wisconsin,www.athens1.org,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,191,9th Grade,12th Grade,191,1,2,5,0,181,0,2,13.71,13.93,guide,95,0,3,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/196227/18-19_hs_handbook.pdf,2018-2019,FALSE,y
MADISON-PLAINS HIGH SCHOOL,Ohio,www.mplsd.org,OH ,1-Regular school,2-No,–,42-Rural: Distant,345,9th Grade,12th Grade,345,0,2,4,1,327,0,11,13.27,26, dress,95,0,1,http://www.mplsd.org/Downloads/STUDENT%20PARENT%20HANDBOOK11.pdf,2018-2019,FALSE,skip - wrong year
BARACK OBAMA MALE LEADERSHIP ACA AT BF DARRELL H S,Texas,www.dallasisd.org/obama,TX ,1-Regular school,2-No,1-Yes,11-City: Large,152,9th Grade,12th Grade,152,0,0,79,70,3,0,0,12.24,12.42,handbook,2,46,52,https://www.dallasisd.org/cms/lib/TX01001475/Centricity/Domain/3757/Barack%20Obama%20Academy%20English%20Order%20Form.pdf,2018-2019,FALSE,
EXCELSIOR SPRINGS HIGH,Missouri,www.essd40.com,MO ,1-Regular school,2-No,2-No,31-Town: Fringe,791,9th Grade,12th Grade,791,4,6,37,17,677,1,49,16.51,47.9,handbook,86,2,5,http://www.essd40.com/UserFiles/Servers/Server_663380/File/Parent%20Resources/Parent%20Information/2018-2019%20HS%20Handbook%20(1).pdf,2018-2019,FALSE,y
BYRON NELSON H S,Texas,www.nisdtx.org/bnhs,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,2557,9th Grade,12th Grade,2557,22,114,467,220,1675,5,54,17.42,146.75,handbook,66,9,18,https://www.nisdtx.org/common/pages/DisplayFile.aspx?itemId=16439757,2018-2019,FALSE,y
CELINA H S,Texas,www.celinaisd.com,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,697,9th Grade,12th Grade,697,6,6,158,20,488,0,19,15.46,45.09,appearance,70,3,23,https://www.celinaisd.com/wp-documents/Student/Documents/2018-2019_Student_Handbook.pdf,2018-2019,FALSE,y
FRONTENAC SR. HIGH SCHOOL,Kansas,www.frontenac249.org,KS ,1-Regular school,2-No,2-No,32-Town: Distant,268,9th Grade,12th Grade,268,1,0,11,1,240,0,15,12.29,21.8,handbook,90,0,4,http://www.frontenac249.org/wp-content/uploads/2018/08/2018-19-FHS-Student-Handbook-6-20-18.pdf,2018-2019,FALSE,y
QUEEN CITY H S,Texas,www.qcisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,299,9th Grade,12th Grade,299,0,2,6,38,245,0,8,9.08,32.92,manual,82,13,2,http://www.qcisd.net/UserFiles/Servers/Server_4824292/File/student%20Handbook%202018-2019%20(1).pdf,2018-2019,FALSE,y
MACON SR. HIGH,Missouri,www.macon.k12.mo.us,MO ,1-Regular school,2-No,2-No,33-Town: Remote,427,9th Grade,12th Grade,427,1,2,8,27,369,0,20,18.5,23.08,guide,86,6,2,http://www.macon.k12.mo.us/UserFiles/Servers/Server_774010/File/District/High%20School/Handbook/2018-2019%20STUDENT%20HANDBOOK.pdf,2018-2019,FALSE,y
UNION HIGH SCHOOL,Iowa,www.union.k12.ia.us,IA ,1-Regular school,2-No,NA,42-Rural: Distant,391,9th Grade,12th Grade,391,0,1,10,2,371,0,7,13.33,29.34,handbook,95,1,3,http://www.union.k12.ia.us/wp-content/uploads/2018/07/2018-19-Student-Handbook.pdf,2018-2019,FALSE,y
SEDRO WOOLLEY SENIOR HIGH SCHOOL,Washington,www.swsd.k12.wa.us,WA ,1-Regular school,2-No,–,23-Suburb: Small,1207,9th Grade,12th Grade,1207,27,15,193,5,925,1,41,20.15,59.9,guide,77,0,16,https://www.swsd.k12.wa.us/cms/lib/WA01000765/Centricity/domain/60/2018-19/Handbk_18-19.pdf,2018-2019,FALSE,y
ATASCADERO HIGH,California,www.atasusd.org,CA ,1-Regular school,2-No,2-No,23-Suburb: Small,1331,9th Grade,12th Grade,1331,15,35,373,21,865,5,17,20.78,64.05, dress,65,2,28,http://www.atas.k12.ca.us/ausd/ahs/pdfs/ahs/2018-19%20Handbook.pdf,2018-2019,FALSE,y
AGWSR HIGH SCHOOL,Iowa,www.agwsr.org,IA ,1-Regular school,2-No,NA,42-Rural: Distant,157,9th Grade,12th Grade,157,0,0,13,1,140,0,3,10.7,14.67,handbook,89,1,8,https://drive.google.com/file/d/1ynna1BsBpLGYgkXSzQ-MqUJZGIpH7Cdb/view,2018-2019,FALSE,y
KEYSTONE HIGH SCHOOL,Ohio,http://www.keystonelocalschools.org,OH ,1-Regular school,2-No,–,41-Rural: Fringe,468,9th Grade,12th Grade,468,2,3,8,1,444,0,10,18,26,handbook,95,0,2,https://campussuite-storage.s3.amazonaws.com/prod/1558539/e6993890-0b80-11e8-9faf-12e31b6c9d14/1793331/857a0f46-7429-11e8-8818-12cccf388932/file/KHS%20Student%20Handbook%202018-19.pdf,2018-2019,FALSE,y
CUBA HIGH,Missouri,cuba.k12.mo.us,MO ,1-Regular school,2-No,2-No,33-Town: Remote,417,9th Grade,12th Grade,417,0,0,19,4,394,0,0,13.43,31.06,handbook,94,1,5,http://www.cuba.k12.mo.us/HighSchool/studenthandbook.pdf,2018-2019,FALSE,y
ONTARIO HIGH SCHOOL,Oregon,www.ontario.k12.or.us/index.php?id=9,OR ,1-Regular school,2-No,NA,32-Town: Distant,693,9th Grade,12th Grade,693,3,13,392,11,262,0,12,18.45,37.57, dress,38,2,57,https://docs.google.com/document/d/1_GKMPx99vD3_FSb7fbEZ6kcThm7XY7_gOHvzN_MKeIk/view,2018-2019,FALSE,y
GOSHEN CENTRAL HIGH SCHOOL,New York,www.goshenschoolsny.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,966,9th Grade,12th Grade,966,2,42,152,43,720,NA,7,13.81,69.94,manual,75,4,16,https://www.gcsny.org/departments/schoolsafety/code-of-conduct/#V,2018-2019,FALSE,y
BATESVILLE HIGH SCHOOL,Arkansas,http://www.batesvilleschools.com,AR ,1-Regular school,2-No,2-No,41-Rural: Fringe,626,9th Grade,12th Grade,626,5,10,72,42,487,1,9,11.56,54.13,handbook,78,7,12,https://docs.google.com/document/d/1ToGHTpg8VMm1zDWo_5tW4OYh6xvPTC4yRHJGXLyiC90/edit#heading=h.hlalejp0ytoa,2018-2019,FALSE,y
ALAMO HEIGHTS H S,Texas,www.ahisd.net,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,1553,9th Grade,12th Grade,1553,6,49,633,25,839,0,1,14.03,110.69,handbook,54,2,41,http://www.ahisd.net/common/pages/UserFile.aspx?fileId=17014819,2018-2019,FALSE,y
RANCHO VERDE HIGH,California,www.valverde.edu,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,3303,9th Grade,12th Grade,3303,13,130,2238,708,152,19,43,26.19,126.1,guide,5,21,68,https://docs.google.com/document/d/1eHpEtMkiruXoz-lqAoLTK-9Y4SFXUGB7mXCU62EE5Ko/edit,2018-2019,FALSE,y
SOUTH SENIOR HIGH,Minnesota,http://www.mpls.k12.mn.us/,MN ,1-Regular school,2-No,2-No,11-City: Large,1847,9th Grade,12th Grade,1847,129,88,356,656,608,1,9,16.61,111.2,guide,33,36,19,http://south.mpls.k12.mn.us/uploads/new_2018-19_student_handbook_w-athletics_for_doc_ctr.pdf,2018-2019,FALSE,y
SINTON H S,Texas,www.sintonisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,639,9th Grade,12th Grade,639,2,2,519,7,104,0,5,12.55,50.92,guide,16,1,81,http://www.sintonisd.net/wp/wp-content/uploads/2018/07/2018-2019-SHB.pdf,2018-2019,FALSE,y
LOMPOC HIGH,California,www.lusd.org,CA ,1-Regular school,2-No,2-No,23-Suburb: Small,1398,9th Grade,12th Grade,1398,12,31,1075,54,168,7,51,22.16,63.1,guide,12,4,77,https://www.lusd.org/cms/lib/CA01001399/Centricity/Domain/1310/STUDENT%20HANDBOOK%202018-19.pdf,2018-2019,FALSE,y
EASTERN HIGH SCHOOL,Michigan,www.fhps.net,MI ,1-Regular school,2-No,2-No,41-Rural: Fringe,809,9th Grade,12th Grade,809,2,54,12,24,689,2,26,17.45,46.36,guide,85,3,1,https://www.fhps.net/documents/fhps-high-school-student-handbook.pdf/,2018-2019,FALSE,y
SHELBY CO HIGH SCH,Alabama,www.shelbyed.k12.al.us/schools/schs/index.htm,AL ,1-Regular school,2-No,2-No,31-Town: Fringe,629,9th Grade,12th Grade,629,1,1,38,60,526,0,3,16.01,39.3,handbook,84,10,6,http://www.shelbyed.k12.al.us/schools/schs/docs/18-19-handbook.pdf,2018-2019,FALSE,y
CALHOUN HIGH SCHOOL,Georgia,www.calhounschools.org,GA ,1-Regular school,2-No,2-No,32-Town: Distant,1084,9th Grade,12th Grade,1084,0,27,339,77,624,3,14,18.25,59.4,handbook,58,7,31,https://docs.google.com/document/d/1MY3OwbbAwz887C7Hw5G_UwItxETEUqVPDtz3ahPW9gU/edit,2018-2019,FALSE,y
ALONSO HIGH SCHOOL,Florida,http://www.sdhc.k12.fl.us/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,2698,9th Grade,12th Grade,2698,13,106,1469,186,829,4,91,17.99,150,manual,31,7,54,https://www.sdhc.k12.fl.us/policymanual/detail/246,2018-2019,FALSE,y
MIRA MESA HIGH,California,www.miramesahigh.org,CA ,1-Regular school,2-No,2-No,11-City: Large,2426,9th Grade,12th Grade,2426,6,1193,544,115,336,16,216,23.83,101.81,guide,14,5,22,https://www.sandiegounified.org/schools/sites/default/files_link/schools/files//schools/mira_mesa/2018-2019%20%20MMHS%20Student%20Parent%20Handbook_1.pdf,2018-2019,FALSE,y
INDEPENDENCE HIGH SCHOOL,Mississippi,www.tatecountyschools.org,MS ,1-Regular school,2-No,2-No,42-Rural: Distant,404,9th Grade,12th Grade,404,0,1,17,138,248,0,0,20.33,19.87,handbook,61,34,4,http://www.tatecountyschools.org/docs/district/general%20documents/tcsd%20handbook%202018.pdf?id=540642,2018-2019,FALSE,y
SOMERSET HIGH,Wisconsin,www.somerset.k12.wi.us,WI ,1-Regular school,2-No,2-No,31-Town: Fringe,488,9th Grade,12th Grade,488,2,6,23,6,448,0,3,16.18,30.17,handbook,92,1,5,https://docs.google.com/document/d/1A2UVM3wd2M7qGbdKNf6dhvXJQ6Sn0GjYtxWTZ3PXinU/edit,2018-2019,FALSE,y
BLUE RIDGE H S,Texas,www.brisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,195,9th Grade,12th Grade,195,2,1,39,0,151,0,2,10.42,18.71,guide,77,0,20,https://www.brisd.net/Page/573,2018-2019,FALSE,y
DE LEON H S,Texas,www.deleon.esc14.net,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,169,9th Grade,12th Grade,169,3,0,51,0,114,0,1,8.67,19.5,guide,67,0,30,http://www.deleon.esc14.net/upload/page/0061/docs/2017-18/Student%20Handbook%202017-18.pdf,2018-2019,FALSE,skip - wouldn't load
KALKASKA HIGH SCHOOL,Michigan,www.kpschools.com,MI ,1-Regular school,2-No,2-No,33-Town: Remote,473,9th Grade,12th Grade,473,2,2,8,5,453,0,3,22.15,21.35,appearance,96,1,2,http://www.kpschools.com/vimages/shared/vnews/stories/54384f1fc352a/HS%20Student%20Handbook%202018-2019%20%28Board%20Approved%2010-22-18%29.pdf,2018-2019,FALSE,y
LA JOLLA HIGH,California,http://ljhs.sandi.net,CA ,1-Regular school,2-No,2-No,11-City: Large,1581,9th Grade,12th Grade,1581,3,107,488,27,843,5,108,25.83,61.2,handbook,53,2,31,https://www.sandiegounified.org/schools/sites/default/files_link/schools/files//schools/la_jolla/students/LJHS%20StudentHandbook.pdf,2018-2019,FALSE,y
WEST GRAND HIGH SCHOOL,Colorado,www.wgsd.us,CO ,1-Regular school,2-No,2-No,43-Rural: Remote,132,9th Grade,12th Grade,132,2,0,37,0,93,0,0,11.25,11.73,guide,70,0,28,https://docs.google.com/document/d/19u6SDhlNJF2LQ3PsMYTZPmACGf3LkT_CiekbF81Tbrk/edit,2018-2019,FALSE,y
PARK HILL HIGH,Missouri,www.parkhill.k12.mo.us,MO ,1-Regular school,2-No,2-No,11-City: Large,1877,9th Grade,12th Grade,1877,6,86,189,263,1225,21,87,15.86,118.38,handbook,65,14,10,https://www.parkhill.k12.mo.us/UserFiles/Servers/Server_62416/File/Folder-Web/Handbook/PHSD_Handbook_18-19.pdf,2018-2019,FALSE,y
BOISE CITY HS,Oklahoma,www.boisecity.k12.ok.us,OK ,1-Regular school,2-No,NA,43-Rural: Remote,83,9th Grade,12th Grade,83,0,0,40,1,42,0,0,10.67,7.78,handbook,51,1,48,https://www.bcpsd.org/172303_3,2018-2019,FALSE,skip - wouldn't copy
NORTH HS,Oklahoma,edmondschools.net,OK ,1-Regular school,2-No,NA,21-Suburb: Large,2644,9th Grade,12th Grade,2644,55,104,210,148,1946,1,180,22.57,117.15,handbook,74,6,8,https://north.edmondschools.net/wp-content/uploads/sites/7/2018/09/Student-Handbook-18-19.pdf,2018-2019,FALSE,y
CLAIREMONT HIGH,California,http://sandi.net/clairemont,CA ,1-Regular school,2-No,2-No,11-City: Large,1000,9th Grade,12th Grade,1000,4,67,518,18,333,2,58,17.45,57.31,handbook,33,2,52,https://www.sandiegounified.org/schools/sites/default/files_link/schools/files//schools/clairemont/Admin/CHS%20Student%20Handbook%202016-2017%20revised%208.14.16.pdf,2018-2019,FALSE,skip - wrong year
THUNDER RIDGE HIGH SCHOOL,Kansas,usd110.net,KS ,1-Regular school,2-No,2-No,43-Rural: Remote,69,9th Grade,12th Grade,69,0,0,4,1,63,0,1,6.39,10.8,handbook,91,1,6,http://usd110.net/UserFiles/Servers/Server_3025288/File/HS%20Handbook%202018-2019.pdf,2018-2019,FALSE,y
CALERA HIGH SCH,Alabama,www.shelbyed.k12.al.us/schools/cahs/index.htm,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,745,9th Grade,12th Grade,745,0,4,39,291,402,0,9,17.95,41.5,handbook,54,39,5,http://www.shelbyed.k12.al.us/schools/cahs/docs/18-19-handbook.pdf,2018-2019,FALSE,y
PEKIN COMMUNITY HIGH SCHOOL,Iowa,www.pekincsd.org,IA ,1-Regular school,2-No,NA,43-Rural: Remote,205,9th Grade,12th Grade,205,0,0,3,2,197,0,3,16.32,12.56,handbook,96,1,1,http://www.pekincsd.org/pages/uploaded_files/2018-19%20Pekin%207-12%20Student%20Handbook.pdf,2018-2019,FALSE,y
BRINDLEE MT HIGH SCH,Alabama,www.marshallk12.org,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,358,9th Grade,12th Grade,358,1,3,17,6,330,0,1,18.08,19.8,handbook,92,2,5,http://www.marshallk12.org/common/pages/DisplayFile.aspx?itemId=15209319,2018-2019,FALSE,y
PLENTYWOOD HIGH SCHOOL,Montana,www.plentywood.k12.mt.us,MT ,1-Regular school,NA,2-No,43-Rural: Remote,112,9th Grade,12th Grade,112,3,0,7,1,101,0,0,10.56,10.61,appearance,90,1,6,https://docs.wixstatic.com/ugd/b7d547_84c4e36466bb4d03a24e8da301e9c5a0.pdf,2018-2019,FALSE,skip - wrong year
BLANCHE ELY HIGH SCHOOL,Florida,http://www.browardschools.com,FL ,1-Regular school,2-No,1-Yes,12-City: Mid-size,2084,9th Grade,12th Grade,2084,2,15,249,1705,86,0,27,21.94,95,guide,4,82,12,https://www.browardschools.com/Page/4638,2018-2019,FALSE,
WESTON HIGH,Massachusetts,www.westonschools.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,726,9th Grade,12th Grade,726,2,103,37,43,504,0,37,9.97,72.8,guide,69,6,5,http://www.westonschools.org/high/wp-content/uploads/sites/4/2018/09/Handbook-18-19-.pdf,2018-2019,FALSE,y
SOROCO HIGH SCHOOL,Colorado,www.southroutt.k12.co.us,CO ,1-Regular school,2-No,2-No,43-Rural: Remote,101,9th Grade,12th Grade,101,0,1,3,0,96,1,0,9.05,11.16,handbook,95,0,3,https://drive.google.com/file/d/1Psa0c9qIDHPn4fhaYLgMTXc-nhJtObd3/view,2018-2019,FALSE,y
WACONIA SENIOR HIGH,Minnesota,http://www.waconia.k12.mn.us,MN ,1-Regular school,2-No,2-No,31-Town: Fringe,1156,9th Grade,12th Grade,1156,1,14,42,15,1067,4,13,18.93,61.07,handbook,92,1,4,https://www.isd110.org/sites/default/files/files/content/2018-19-handbook_2.pdf,2018-2019,FALSE,y
SAN JON HIGH,New Mexico,http://www.sanjonschools.com/,NM ,1-Regular school,2-No,NA,43-Rural: Remote,28,9th Grade,12th Grade,28,0,1,15,0,12,0,0,6.31,4.44,handbook,43,0,54,http://www.sanjonschools.com/UserFiles/Servers/Server_422635/File/Stacy%20uploads/SJS%202018-19%20Handbook.pdf,2018-2019,FALSE,y
JOSEPH CASE HIGH,Massachusetts,www.swanseaschools.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,511,9th Grade,12th Grade,511,1,5,6,14,480,0,5,10.79,47.38,guide,94,3,1,https://docs.google.com/viewerng/viewer?url=https://www.swanseaschools.org//cms/lib/MA02202433/Centricity/Domain/149/Student+Handbook+2018-2019.pdf,2018-2019,FALSE,y
WHARTON H S,Texas,www.whartonisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,587,9th Grade,12th Grade,587,0,1,321,145,117,0,3,11.46,51.2,handbook,20,25,55,http://www.whartonisd.net/upload/page/0078/Wharton%20ISD%20Student%20Handbook%20-%202018-19%20school%20year.pdf,2018-2019,FALSE,y
