"schoolName","state","link","item","extract"
"Mohonasen Senior High School","NY","https://www.mohonasen.org/wp-content/uploads/2017/09/CodeofConduct_2017_forweb.pdf","appropriate/inappropriate"," Teachers and all other district personnel should exemplify and reinforce acceptable dress and help to develop an understanding of appropriate appearance in the school setting."
"Mohonasen Senior High School","NY","https://www.mohonasen.org/wp-content/uploads/2017/09/CodeofConduct_2017_forweb.pdf","appropriate/inappropriate","  Be safe, appropriate and not disrupt or interfere with the educational process."
"Mohonasen Senior High School","NY","https://www.mohonasen.org/wp-content/uploads/2017/09/CodeofConduct_2017_forweb.pdf","appropriate/inappropriate","  Recognize that brief, revealing or see-through garments are not appropriate."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress in a manner that is appropriate for school and school-related functions."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate"," Teachers and all other district personnel should exemplify and reinforce acceptable student dress and help students develop  an understanding of appropriate appear- ance in the school setting."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate"," Clothing should be appropriate and not disrupt the educational process."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate"," District staff who are not authorized to impose disciplinary sanctions are expected to promptly report and document violations of the Code of Conduct to  their supervisor, who shall in turn impose an appropriate disciplinary sanction, if so authorized, or refer the matter to a staff mem- ber who is authorized to impose an appropriate sanction."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate"," The parent of the student involved should then be notified and appropriate disciplinary action taken, if warranted, which may include permanent suspension and referral to the police."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate","  The building principals or their designees may notify the appropriate local law enforcement agency and the office of the superin- tendent of those Code of Conduct violations that constitute a violation of the N."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","appropriate/inappropriate","  If needed, the parent or guardian will be required to provide appropriate clothing."
"Ravena-Coeymans-Selkirk Senior High School","NY","https://www.rcscsd.org/forms-handbooks-policies/code-of-conduct/","appropriate/inappropriate"," However, the Board of Education requires students to attend school in appropriate dress that meets health and safety standards and does not interfere with the learning process."
"Ravena-Coeymans-Selkirk Senior High School","NY","https://www.rcscsd.org/forms-handbooks-policies/code-of-conduct/","appropriate/inappropriate"," The Board also requires students to wear appropriate protective gear in certain classes and activities, such as family and consumer sciences, home and career skills, technology education, science labs, physical education, sports, and club activities."
"Ravena-Coeymans-Selkirk Senior High School","NY","https://www.rcscsd.org/forms-handbooks-policies/code-of-conduct/","appropriate/inappropriate"," Teachers and all other district personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting."
"Ravena-Coeymans-Selkirk Senior High School","NY","https://www.rcscsd.org/forms-handbooks-policies/code-of-conduct/","appropriate/inappropriate"," Whether or not a student’s attire is appropriate or not is ultimately within the discretion of the principal or assistant principal."
"Northglenn High School","CO","https://northglennh.adams12.org/sites/northglennh.d7sb.adams12.org/files/attachments/NGHS%202018-19%20Parent-Student%20Handbook.pdf","appropriate/inappropriate"," Clothes should fit appropriately and the body should be sufficiently covered so as to avoid distracting others, or otherwise disrupting the learning environment."
"Northglenn High School","CO","https://northglennh.adams12.org/sites/northglennh.d7sb.adams12.org/files/attachments/NGHS%202018-19%20Parent-Student%20Handbook.pdf","appropriate/inappropriate","5 Additional factors as identified in District Policy 5010 may also be considered in determining appropriate sanctions and interventions."
"Northglenn High School","CO","https://northglennh.adams12.org/sites/northglennh.d7sb.adams12.org/files/attachments/NGHS%202018-19%20Parent-Student%20Handbook.pdf","appropriate/inappropriate","0 The Superintendent authorizes the Executive Directors of Schools to grant written waivers to this policy as appropriate."
"Park Vista Community High School","FL","https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf","appropriate/inappropriate"," The Board believes that appropriate attire and grooming contribute to a productive and effective learning environment."
"Park Vista Community High School","FL","https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf","appropriate/inappropriate"," Thus, all students are expected to be groomed and dressed appropriately for age, grade level, school, and school activities."
"Park Vista Community High School","FL","https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf","appropriate/inappropriate"," Attire that may be used as a weapon, including but not limited to, steel toed shoes; large, long, or heavy waist or other chains; studded or chained accessories; items with spikes; and other items deemed inappropriate by an individual school site."
"Del Mar High","CA","https://4.files.edl.io/8074/07/10/18/011231-c4c7da88-ca5e-42fb-880e-babb49c7cf52.pdf","appropriate/inappropriate","STUDENT DRESS CODE Students are expected to dress appropriately for school."
"Del Mar High","CA","https://4.files.edl.io/8074/07/10/18/011231-c4c7da88-ca5e-42fb-880e-babb49c7cf52.pdf","appropriate/inappropriate"," DRESS CODE ENFORCEMENT If a student is dressed inappropriately for school, their teacher will send them to an Assistant Principal’s office."
"Anamosa High School","IA","http://www.anamosa.k12.ia.us/wp-content/uploads/2018/08/Anamosa-High-School-Handbook-2018-2019.pdf","appropriate/inappropriate"," The standards will be those generally acceptable to the community as appropriate in a school setting."
"Anamosa High School","IA","http://www.anamosa.k12.ia.us/wp-content/uploads/2018/08/Anamosa-High-School-Handbook-2018-2019.pdf","appropriate/inappropriate"," Students are expected to be clean and well-groomed and wear clothes in good repair and appropriate for the time, place, and occasion."
"Rio Rancho High","NM","https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf","appropriate/inappropriate","Students are expected to be neat, clean, and appropriately dressed for learning while on campus or on school sponsored field trips."
"Rio Rancho High","NM","https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf","appropriate/inappropriate"," Administrators shall have the discretion to determine the appropriateness of attire and grooming, and may make special exceptions for students in certain grades/subjects, such as vocational courses, physical education, and for medical necessities."
"Rio Rancho High","NM","https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf","appropriate/inappropriate"," Dress Code and Standard of Decency Students are expected to demonstrate personal grooming standards of cleanliness and to wear appropriate clothing while on campus, on field trips, and during off campus events at which students represent Rio Rancho Schools for athletics or activities."
"Rio Rancho High","NM","https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf","appropriate/inappropriate"," Clothing and/or articles worn or carried by the student (includes face painting) displaying words or symbols or colors of gangs, drugs, alcohol, tobacco, violence, racism, inappropriate language or images, or symbols of a sexual/sexist nature o."
"Rio Rancho High","NM","https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf","appropriate/inappropriate"," Footwear that is safe and appropriate for weather and other conditions must be worn at all times on campus and in buildings b."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","appropriate/inappropriate"," The Board believes that proper etiquette, good grooming, and appropriate dress are an essential part of the educational process."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","appropriate/inappropriate"," (Mid-thigh is the appropriate length for school."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","appropriate/inappropriate"," Tank tops may not be worn in such a way as to expose an inappropriate amount of body or the undergarments."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","appropriate/inappropriate"," No clothing with inappropriate language, phrases, pictures, or innuendoes will be allowed."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","appropriate/inappropriate"," Students must refrain from wearing oversized or bulky coats/jackets that may conceal items not appropriate or safe for school."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","appropriate/inappropriate"," Teachers and all other District personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","appropriate/inappropriate","     A student’s dress, grooming and appearance, including hair style/color, jewelry, make-up and nails, shall:     Be safe, appropriate and not disrupt or interfere with the educational process."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","appropriate/inappropriate","  Recognize that extremely brief garments are not appropriate."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","appropriate/inappropriate"," Student must be dressed in appropriate clothing and protective equipment as required for physical education classes, participation in athletics, science laboratories and home and careers skills classes."
"Bremond High School","TX","http://www.bremondisd.net/vimages/shared/vnews/stories/4c4764dd0bf4c/Handbook2%20%284%29.pdf","appropriate/inappropriate"," Students are expected to dress appropriately and in good taste with concern given to the safety and wellbeing of students."
"Bremond High School","TX","http://www.bremondisd.net/vimages/shared/vnews/stories/4c4764dd0bf4c/Handbook2%20%284%29.pdf","appropriate/inappropriate"," Students must wear appropriate and safe footwear (shoes or boots) at all times."
"Julian High","CA","https://drive.google.com/file/d/15CrNaE_ZopqaqlwyRDbUsC7Xc3npN2m6/view","appropriate/inappropriate"," Students’ attire should be neat, clean, and appropriate for the school setting."
"Julian High","CA","https://drive.google.com/file/d/15CrNaE_ZopqaqlwyRDbUsC7Xc3npN2m6/view","appropriate/inappropriate"," For safety reasons teachers will require appropriate footwear in all classes."
"Red River High School","ND","https://www.gfschools.org/site/handlers/filedownload.ashx?moduleinstanceid=236&dataid=1028&FileName=2018-2019%20High%20School%20Handbook%208.18.pdf","appropriate/inappropriate"," Students wearing inappropriate attire will be instructed to get it changed, and parent(s)/guardian(s) will be contacted."
"Red River High School","ND","https://www.gfschools.org/site/handlers/filedownload.ashx?moduleinstanceid=236&dataid=1028&FileName=2018-2019%20High%20School%20Handbook%208.18.pdf","appropriate/inappropriate"," Inappropriate attire may include, but is not limited to, clothing with rips or holes; clothing with a derogatory saying or double meaning suggestive of sexual, illegal, or derogatory connotations; or any clothing or accessory, including make-up and hair style, that draws excessive attention to an individual student."
"Robertsdale High Sch","AL","https://www.bcbe.org/domain/5822","appropriate/inappropriate","              The following types of clothing are considered inappropriate at Robertsdale High School."
"Robertsdale High Sch","AL","https://www.bcbe.org/domain/5822","appropriate/inappropriate","  Footwear (shoes) must be worn and appropriate for the school setting both in appearance and safety."
"Robertsdale High Sch","AL","https://www.bcbe.org/domain/5822","appropriate/inappropriate"," No pajama pants, boxer shorts, cut-off sweat pants, spandex shorts, leggings, jeggings, or yoga pants are to be worn alone without appropriate outer garment of appropriate length."
"Robertsdale High Sch","AL","https://www.bcbe.org/domain/5822","appropriate/inappropriate","  Students who are determined to be inappropriately dressed will be allowed to change clothes, to call home for someone to bring them a change of clothes, or for permission to go home to change clothes and return to school."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate"," Students also have a responsibility to dress and act in a manner which is appropriate for school."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate"," The school staff has the responsibility to make professional judgments regarding the appropriateness of those actions and dress based upon standards stated above."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate"," A student’s manner of dress would be considered inappropriate if it were “unusual” enough to distract either other students or the teacher from educational activities in the classroom or to disrupt the positive, safe climate on campus."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate"," • Articles of clothing, accessories, or footwear that advertise, depict, or condone the use of alcohol, drugs, tobacco, violence, inappropriate language, or sexual behavior/innuendo, purposeful harm to oneself, suicide, gang membership, or gang behavior."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate"," • Sunglasses • Tattoos of a design or in a location disruptive to school order Consequences for initial violation of the dress code will be 1) a requirement for the student to wear appropriate garments, footwear, or accessories, and 2) parental contact."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","appropriate/inappropriate","  Fairbanks North Star Borough School District  Student Rights, Responsibilities & Behavioral Consequences – 2018-2019 6 Repeated infractions may be considered insubordination resulting in appropriate disciplinary consequences."
"Savage High School","MT","http://www.savagepublicschool.com/uploads/1/3/2/1/13214614/student_handbook_18-19.pdf","appropriate/inappropriate"," Student appearance should be governed at all times by what is appropriate, what is clean and neat, and what reflects our community’s standards and values."
"Savage High School","MT","http://www.savagepublicschool.com/uploads/1/3/2/1/13214614/student_handbook_18-19.pdf","appropriate/inappropriate"," In cases where there is a question about the appropriateness of any item of attire, the superintendent will determine what is appropriate! Students with inappropriate clothing will either remain in the office until more appropriate clothing is brought from home, or they will be sent home to change."
"Beggs High School","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","appropriate/inappropriate","The Board of Education prohibits wearing of attire which might expose too much of the child’s person as deemed inappropriate by school officials."
"Beggs High School","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","appropriate/inappropriate"," The following includes, but is not limited to, appropriate dress requirements: 1."
"Beggs High School","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","appropriate/inappropriate"," Low cut clothing, halter tops, mesh clothing, racerbacks, and midriffs will not be permitted as appropriate dress."
"Beggs High School","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","appropriate/inappropriate"," Clothing that is extremely tight will not be considered appropriate dress."
"Beggs High School","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","appropriate/inappropriate"," Beggs Administration reserves the right to require a student to change any garment/item deemed inappropriate."
"Como Park Senior High","MN","https://www.spps.org/site/handlers/filedownload.ashx?moduleinstanceid=48819&dataid=27984&FileName=2018-19_RRSummary_Final.pdf","appropriate/inappropriate"," Responsibilities • Students are responsible for wearing clothes that are appropriate for school."
"Port Jervis Senior High School","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Port Jervis Senior High School","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","appropriate/inappropriate"," Teachers and all other district personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting."
"Port Jervis Senior High School","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","appropriate/inappropriate"," Be safe, appropriate and not disruptive to the educational process."
"Port Jervis Senior High School","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","appropriate/inappropriate"," Not include extremely brief, revealing, tight or form fitting garments such as, but not limited to, tube tops, net tops, halter tops, spaghetti straps, plunging necklines, (front and/or back), bare midriff, inappropriate Spandex clothing, see-through garments, high slit or short skirts/shorts."
"Ironton High School","OH","http://www.tigertown.com/UserFiles/Servers/Server_2979847/File/IHS/IHS.HandBook.18-19.pdf","appropriate/inappropriate","Students are expected to dress appropriately at all times."
"Ironton High School","OH","http://www.tigertown.com/UserFiles/Servers/Server_2979847/File/IHS/IHS.HandBook.18-19.pdf","appropriate/inappropriate"," Students should consider the following questions when dressing for school: Does my clothing expose too much? (No) Does my clothing advertise something that is prohibited to minors? (No) Are there obscene, profane, drug-related, gang-related, or inflammatory messages on my clothing? (No) Am I dressed appropriately for the weather? (Yes) Do I feel comfortable with my appearance? (Yes) The guidelines for the dress code are as follows: All students enrolled in the Ironton City School District are expected to dress in an acceptable fashion."
"Ironton High School","OH","http://www.tigertown.com/UserFiles/Servers/Server_2979847/File/IHS/IHS.HandBook.18-19.pdf","appropriate/inappropriate"," Athletic bags carried to school must be stored in appropriate locker room areas  or other designated areas."
"South Jefferson High School","NY","https://drive.google.com/file/d/1rG3pPJz-mXtABUTTxhaW3Aq9GpJKQtvJ/view","appropriate/inappropriate","All students are expected to dress appropriately for school functions."
"South Jefferson High School","NY","https://drive.google.com/file/d/1rG3pPJz-mXtABUTTxhaW3Aq9GpJKQtvJ/view","appropriate/inappropriate"," Teachers and all other district personnel should set the example for acceptable student dress and should assist with and help students develop an understanding of what is appropriate appearance in the school and in society."
