"schoolName","state","website","stateAbb","schoolType","charterSchool","magnetSchool","locale","totalStudents","lowestGrade","highestGrade","totalRace","raceNative","raceAsian","raceHispanic","raceBlack","raceWhite","raceHawaiian","raceMultiple","studentTeacherRatio","teacherCount","matches","pWhite","pBlack","pHispanic"
"ADRIAN HIGH SCHOOL","Oregon","www.adrian.k12.or.us","OR ","1-Regular school","2-No",NA,"42-Rural: Distant",79,"9th Grade","12th Grade",79,0,2,19,0,54,0,4,13.17,6,"guide",68,0,24
"ADULT ACADEMICS","Minnesota","http://rdale.org/","MN ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",2,"9th Grade","12th Grade",2,0,0,0,0,2,0,0,0.21,9.53,"handbook",100,0,0
"AFFTON HIGH","Missouri","www.afftonschools.net","MO ","1-Regular school","2-No","2-No","21-Suburb: Large",773,"9th Grade","12th Grade",773,0,25,33,70,601,1,43,16.87,45.81,"handbook",78,9,4
"AGAWAM HIGH","Massachusetts","www.agawampublicschools.org","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",1249,"9th Grade","12th Grade",1249,1,26,76,17,1102,2,25,12.83,97.36,"guide",88,1,6
"AGWSR HIGH SCHOOL","Iowa","www.agwsr.org","IA ","1-Regular school","2-No",NA,"42-Rural: Distant",157,"9th Grade","12th Grade",157,0,0,13,1,140,0,3,10.7,14.67,"handbook",89,1,8
"AIM HIGH SCHOOL","Washington","www.sno.wednet.edu","WA ","4-Alternative/other school","2-No","–","22-Suburb: Mid-size",152,"9th Grade","12th Grade",152,1,4,16,2,122,0,7,32.9,4.62,"guide",80,1,11
"AKRON EARLY COLLEGE HIGH SCHOOL","Ohio","www.akronschools.com","OH ","1-Regular school","2-No","–","12-City: Mid-size",343,"9th Grade","12th Grade",343,0,47,15,135,124,0,22,49,7,"guide",36,39,4
"AKRON STEM HIGH SCHOOL","Ohio","www.akronschools.com","OH ","1-Regular school","2-No","–","12-City: Mid-size",319,"9th Grade","12th Grade",319,0,14,12,112,152,0,29,24.54,13,"guide",48,35,4
"AKRON WESTFIELD SENIOR HIGH SCHOOL","Iowa","www.akron-westfield.com","IA ","1-Regular school","2-No",NA,"42-Rural: Distant",160,"9th Grade","12th Grade",160,0,5,14,0,134,0,7,11.37,14.07,"guide",84,0,9
"ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES","Florida","www.mycroschool.org","FL ","4-Alternative/other school","1-Yes","2-No","12-City: Mid-size",282,"9th Grade","12th Grade",282,0,1,23,192,50,0,16,35.25,8," dress",18,68,8
"ALAMO HEIGHTS H S","Texas","www.ahisd.net","TX ","1-Regular school","2-No","2-No","21-Suburb: Large",1553,"9th Grade","12th Grade",1553,6,49,633,25,839,0,1,14.03,110.69,"handbook",54,2,41
"ALAMOSA HIGH SCHOOL","Colorado","http://alamosa.k12.co.us","CO ","1-Regular school","2-No","2-No","33-Town: Remote",576,"9th Grade","12th Grade",576,7,8,352,5,197,2,5,17.87,32.24,"guide",34,1,61
"ALBANY HIGH","Wisconsin","www.albany.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",109,"9th Grade","12th Grade",109,1,2,3,2,100,0,1,7.8,13.98,"handbook",92,2,3
"ALBANY OPTIONS SCHOOL","Oregon","www.albany.k12.or.us/aos/","OR ","4-Alternative/other school","2-No",NA,"13-City: Small",398,"9th Grade","12th Grade",398,5,2,86,2,295,0,8,49.75,8,"handbook",74,1,22
"ALBERTON HIGH SCHOOL","Montana","alberton.k12.mt.us","MT ","1-Regular school",NA,"2-No","42-Rural: Distant",32,"9th Grade","12th Grade",32,0,0,1,0,28,0,3,6.64,4.82," dress",88,0,3
"ALBIA HIGH SCHOOL","Iowa","www.albia.k12.ia.us","IA ","1-Regular school","2-No",NA,"33-Town: Remote",352,"9th Grade","12th Grade",352,1,2,16,6,322,1,4,13.88,25.36,"handbook",91,2,5
"ALBURNETT SENIOR HIGH SCHOOL","Iowa","www.alburnettcsd.org","IA ","1-Regular school","2-No",NA,"41-Rural: Fringe",198,"9th Grade","12th Grade",198,1,0,5,1,190,0,1,13.16,15.04,"appearance",96,1,3
"ALC CONNECTIONS","Minnesota","www.spps.org","MN ","4-Alternative/other school","2-No","2-No","11-City: Large",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"guide",NA,NA,NA
"ALC EVENING HIGH SCHOOL","Minnesota","www.spps.org","MN ","4-Alternative/other school","2-No","2-No","11-City: Large",46,"9th Grade","12th Grade",46,0,19,12,12,2,0,1,40.35,1.14,"guide",4,26,26
"ALC NIGHT SCHOOL","MINNESOTA","http://www.owatonnaalc.portal.rschooltoday.com/","MN ","4-Alternative/other school","2-No","2-No","32-Town: Distant",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"handbook",NA,NA,NA
"ALDEN SENIOR HIGH SCHOOL","New York","www.aldenschools.org","NY ","1-Regular school","2-No","2-No","41-Rural: Fringe",568,"9th Grade","12th Grade",568,0,5,2,9,550,NA,2,14.71,38.61,"guide",97,2,0
"ALDINE H S","Texas","www.aldine.k12.tx.us","TX ","1-Regular school","2-No","2-No","11-City: Large",2494,"9th Grade","12th Grade",2494,2,25,2243,176,45,0,3,15.97,156.21,"handbook",2,7,90
"ALEX HS","Oklahoma","www.alex.k12.ok.us","OK ","1-Regular school","2-No",NA,"42-Rural: Distant",92,"9th Grade","12th Grade",92,4,0,4,0,79,1,4,14.35,6.41,"handbook",86,0,4
"ALEXANDER HAMILTON SENIOR HIGH","California","http://hamiltonhs-lausd-ca.schoolloop.com","CA ","1-Regular school","2-No","1-Yes","11-City: Large",2879,"9th Grade","12th Grade",2879,7,111,1431,819,441,12,58,24.96,115.33,"appearance",15,28,50
"ALGER B. WILKINS HIGH SCHOOL PLC","North Carolina","abwhs.ccs.k12.nc.us/","NC ","4-Alternative/other school","2-No","2-No","12-City: Mid-size",115,"9th Grade","12th Grade",115,3,0,11,76,16,0,9,12.78,9,"manual",14,66,10
"ALICE H S","Texas","ahs.aliceisd.net","TX ","1-Regular school","2-No","2-No","32-Town: Distant",1360,"9th Grade","12th Grade",1360,1,7,1283,4,64,0,1,12.97,104.86,"guide",5,0,94
"ALICEVILLE HIGH SCH","Alabama","www.myschoolonline.com/site/018767529-55381-7-14800.html","AL ","1-Regular school","2-No","2-No","43-Rural: Remote",284,"9th Grade","12th Grade",284,0,0,0,282,1,0,1,17.31,16.41,"guide",0,99,0
"ALIEF EARLY COLLEGE H S","Texas","www.aliefisd.net","TX ","1-Regular school","2-No","2-No","11-City: Large",432,"9th Grade","12th Grade",432,5,84,237,89,16,0,1,19.71,21.92,"appearance",4,21,55
"ALISO NIGUEL HIGH","California","http://anhs-capousd-ca.schoolloop.com/","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",3068,"9th Grade","12th Grade",3068,6,438,539,38,1791,3,253,28.8,106.53,"appearance",58,1,18
"ALLEGHANY HIGH","Virginia","www.alleghany.k12.va.us","VA ","1-Regular school","2-No","2-No","42-Rural: Distant",815,"9th Grade","12th Grade",815,2,3,15,62,715,0,18,15.35,53.08,"handbook",88,8,2
"ALLIANCE MARC & EVA STERN MATH AND SCIENCE","California","www.sternmass.org","CA ","1-Regular school","1-Yes","2-No","11-City: Large",601,"9th Grade","12th Grade",601,3,8,581,5,4,0,0,18.98,31.67,"handbook",1,1,97
"ALMA BRYANT HIGH SCH","Alabama","bryant.mcs.schoolinsites.com","AL ","1-Regular school","2-No","2-No","41-Rural: Fringe",1729,"9th Grade","12th Grade",1729,12,118,67,215,1279,1,37,18.58,93.04,"handbook",74,12,4
"ALMONT HIGH SCHOOL","Michigan","www.almontschools.org","MI ","1-Regular school","2-No","2-No","41-Rural: Fringe",500,"9th Grade","12th Grade",500,2,1,21,1,473,1,1,19.87,25.16,"manual",95,0,4
"ALONSO HIGH SCHOOL","Florida","http://www.sdhc.k12.fl.us/","FL ","1-Regular school","2-No","2-No","21-Suburb: Large",2698,"9th Grade","12th Grade",2698,13,106,1469,186,829,4,91,17.99,150,"manual",31,7,54
"ALTA LOMA HIGH","California","www.cjuhsd.net","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",2514,"9th Grade","12th Grade",2514,16,124,1317,192,799,19,47,25.18,99.86,"appearance",32,8,52
"ALTERNATIVE EDUCATIONAL DEVELOPMENTAL PROGRAM","Florida","http://www.lake.k12.fl.us/erh","FL ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",16,"9th Grade","12th Grade",16,0,0,3,7,6,0,0,NA,NA,"guide",38,44,19
"ALTERNATIVE H S","Texas","nisd.net","TX ","4-Alternative/other school","2-No","2-No","11-City: Large",140,"9th Grade","12th Grade",140,0,4,97,13,23,0,3,6.13,22.84,"handbook",16,9,69
"ALTERNATIVE SCHOOL","Washington","methow.org","WA ","4-Alternative/other school","2-No","–","43-Rural: Remote",16,"9th Grade","12th Grade",16,0,0,1,0,15,0,0,10,1.6,"handbook",94,0,6
"ALTOONA HIGH","Wisconsin","www.altoona.k12.wi.us","WI ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",428,"9th Grade","12th Grade",428,4,13,13,13,374,0,11,15.18,28.2,"handbook",87,3,3
"ALVARADO H S","Texas","www.alvaradoisd.net","TX ","1-Regular school","2-No","2-No","31-Town: Fringe",1046,"9th Grade","12th Grade",1046,6,4,335,31,649,2,19,15.95,65.6,"handbook",62,3,32
"AMERICAN CANYON HIGH","California","www.nvusd.org","CA ","1-Regular school","2-No","2-No","41-Rural: Fringe",1582,"9th Grade","12th Grade",1582,3,544,557,171,201,17,89,21.26,74.4,"appearance",13,11,35
"AMERICAN INDIAN OIC","Minnesota","http://www.mpls.k12.mn.us/","MN ","4-Alternative/other school","2-No","2-No","11-City: Large",33,"9th Grade","12th Grade",33,26,0,2,4,1,0,0,18.33,1.8,"guide",3,12,6
"AMERICAN PREPARATORY ACADEMY - DRAPER #3","UTAH","www.americanprep.org","UT ","1-Regular school","1-Yes","2-No","21-Suburb: Large",138,"9th Grade","12th Grade",138,1,12,19,1,104,1,0,NA,NA,"guide",75,1,14
"AMERICUS SUMTER HIGH SCHOOL (OLD AMERICUS-SUMTER HS S)","Georgia","ashs.sumterschools.org","GA ","1-Regular school","2-No","2-No","32-Town: Distant",1001,"9th Grade","12th Grade",1001,0,6,68,780,135,0,12,17.84,56.1,"handbook",13,78,7
"AMES HIGH SCHOOL","Iowa","www.ames.k12.ia.us/AHS/AHS.html","IA ","1-Regular school","2-No",NA,"13-City: Small",1270,"9th Grade","12th Grade",1270,4,113,89,101,910,0,53,16.25,78.15,"handbook",72,8,7
"AMISTAD HIGH (CONTINUATION)","California","www.dsusd.us","CA ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",289,"9th Grade","12th Grade",289,1,0,263,3,20,0,2,16.61,17.4,"manual",7,1,91
"AMITY REGIONAL HIGH SCHOOL","Connecticut","www.amityregion5.org","CT ","1-Regular school","2-No","2-No","21-Suburb: Large",1486,"9th Grade","12th Grade",1486,6,191,32,50,1182,4,21,12.28,121,"handbook",80,3,2
"AMSTERDAM HIGH SCHOOL","New York","www.gasd.org","NY ","1-Regular school","2-No","2-No","41-Rural: Fringe",1125,"9th Grade","12th Grade",1125,1,14,432,87,578,NA,13,14.47,77.77,"manual",51,8,38
"ANACORTES HIGH SCHOOL","Washington","http://ahs.asd103.org","WA ","1-Regular school","2-No","–","31-Town: Fringe",787,"9th Grade","12th Grade",787,9,30,74,11,652,0,11,21.75,36.18,"handbook",83,1,9
"ANAMOSA HIGH SCHOOL","Iowa","www.anamosa.k12.ia.us","IA ","1-Regular school","2-No",NA,"32-Town: Distant",384,"9th Grade","12th Grade",384,0,5,8,6,359,0,6,12.99,29.56,"handbook",93,2,2
"ANDREWS EDUCATION CENTER","Texas","www.andrews.esc18.net","TX ","4-Alternative/other school","2-No","2-No","32-Town: Distant",32,"9th Grade","12th Grade",32,0,0,22,0,9,0,1,5.33,6,"handbook",28,0,69
"ANDREWS H S","Texas","www.andrews.esc18.net","TX ","1-Regular school","2-No","2-No","32-Town: Distant",1017,"9th Grade","12th Grade",1017,0,3,673,17,307,0,17,13.06,77.88,"handbook",30,2,66
"ANDREWS HIGH","North Carolina","www.cherokee.k12.nc.us/ahs/","NC ","1-Regular school","2-No","2-No","43-Rural: Remote",280,"9th Grade","12th Grade",280,9,3,14,0,251,0,3,13.1,21.37,"handbook",90,0,5
"ANNUNCIATION MATERNITY HOME","Texas","www.ut-ucs.org","TX ","4-Alternative/other school","1-Yes","2-No","41-Rural: Fringe",11,"9th Grade","12th Grade",11,0,0,5,2,3,0,1,5.76,1.91,"appearance",27,18,45
"ANOTHER COURSE TO COLLEGE","Massachusetts","www.bostonpublicschools.org","MA ","4-Alternative/other school","2-No","2-No","11-City: Large",237,"9th Grade","12th Grade",237,1,20,93,95,20,1,7,11.65,20.35,"guide",8,40,39
"APOLLO HIGH SCHOOL","Arizona","http://apollo.guhsdaz.org","AZ ","1-Regular school","2-No","–","21-Suburb: Large",2040,"9th Grade","12th Grade",2040,39,58,1332,183,414,6,8,22.32,91.4,"handbook",20,9,65
"APPLETON CAREER ACADEMY","Wisconsin","www.aasd.k12.wi.us","WI ","1-Regular school","1-Yes","2-No","13-City: Small",111,"9th Grade","12th Grade",111,0,3,5,2,99,0,2,38.28,2.9,"handbook",89,2,5
"APPLETON TECHNICAL ACADEMY","Wisconsin","www.aasd.k12.wi.us","WI ","3-Vocational school","1-Yes","2-No","13-City: Small",73,"9th Grade","12th Grade",73,1,4,14,2,52,0,0,23.55,3.1,"handbook",71,3,19
"APPOQUINIMINK HIGH SCHOOL","Delaware","www.appohigh.org/","DE ","1-Regular school","2-No","2-No","41-Rural: Fringe",1589,"9th Grade","12th Grade",1589,4,73,94,397,996,2,23,17.46,91,"manual",63,25,6
"APS ONLINE SCHOOL","Colorado","http://online.aurorak12.org","CO ","1-Regular school","2-No","2-No","11-City: Large",143,"9th Grade","12th Grade",143,2,2,82,22,27,0,8,9.63,14.85,"handbook",19,15,57
"ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERING- MEDIC","Georgia","http://www.dekalb.k12.ga.us/arabiamtnhs/","GA ","1-Regular school","2-No","1-Yes","41-Rural: Fringe",1345,"9th Grade","12th Grade",1345,0,1,16,1315,1,0,12,17.89,75.2," dress",0,98,1
"ARANSAS PASS H S","Texas","apisd.org","TX ","1-Regular school","2-No","2-No","31-Town: Fringe",504,"9th Grade","12th Grade",504,4,3,297,15,178,0,7,13.15,38.32,"handbook",35,3,59
"ARCADIA HIGH SCHOOL","New York","www.greececsd.org","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",1144,"9th Grade","12th Grade",1144,6,20,123,147,835,NA,13,13.74,83.26,"guide",73,13,11
"ARCADIA VALLEY CAREER TECH CTR","Missouri","www.avr2.org","MO ","3-Vocational school","2-No","2-No","33-Town: Remote",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,8.5,"guide",NA,NA,NA
"ARCADIA VALLEY HIGH","Missouri","www.avr2.org","MO ","1-Regular school","2-No","2-No","33-Town: Remote",354,"9th Grade","12th Grade",354,0,1,2,2,346,0,3,18.42,19.22,"guide",98,1,1
"ARCHIMEDEAN UPPER CONSERVATORY","Florida","http://www.dadeschools.net","FL ","1-Regular school","1-Yes","2-No","21-Suburb: Large",280,"9th Grade","12th Grade",280,0,25,224,3,23,0,5,9.03,31,"guide",8,1,80
"ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER HIGH (ACE)","California","www.acecharterhigh.org","CA ","1-Regular school","1-Yes","2-No","13-City: Small",186,"9th Grade","12th Grade",186,0,3,75,14,85,1,8,17.14,10.85,"manual",46,8,40
"ARIZONA AGRIBUSINESS & EQUINE CENTER  INC. - PRESCOTT VALLEY","Arizona","www.aaechighschools.com","AZ ","1-Regular school","1-Yes","–","23-Suburb: Small",211,"9th Grade","12th Grade",211,2,3,19,5,182,0,0,NA,NA,"guide",86,2,9
"ARIZONA AGRIBUSINESS & EQUINE CENTER - ESTRELLA","Arizona","aaechighschools.com","AZ ","1-Regular school","1-Yes","–","22-Suburb: Mid-size",480,"9th Grade","12th Grade",480,5,21,173,34,241,1,5,NA,NA,"guide",50,7,36
"ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS","Arizona","azconservatory.org","AZ ","1-Regular school","1-Yes","–","11-City: Large",242,"9th Grade","12th Grade",242,4,3,45,19,165,0,6,NA,NA,"handbook",68,8,19
"ARK INDEPENDENT STUDIES","California","www.arkis.santacruz.k12.ca.us","CA ","4-Alternative/other school","2-No","2-No","13-City: Small",51,"9th Grade","12th Grade",51,0,0,25,1,21,0,4,15.69,3.25,"handbook",41,2,49
"ARMSTRONG CREDIT RECOVERY","Minnesota","http://rdale.org/","MN ","4-Alternative/other school","2-No","2-No","13-City: Small",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"handbook",NA,NA,NA
"ARMWOOD HIGH SCHOOL","Florida","http://www.sdhc.k12.fl.us/","FL ","1-Regular school","2-No","1-Yes","21-Suburb: Large",2075,"9th Grade","12th Grade",2075,8,15,560,740,665,5,82,17.89,116,"manual",32,36,27
"ARROWHEAD HIGH","Wisconsin","www.arrowheadschools.org","WI ","1-Regular school","2-No","2-No","21-Suburb: Large",2219,"9th Grade","12th Grade",2219,7,40,83,18,2030,0,41,19.31,114.92,"handbook",91,1,4
"ARROYO VALLEY HIGH","California","www.sbcusd.k12.ca.us","CA ","1-Regular school","2-No","1-Yes","12-City: Mid-size",2617,"9th Grade","12th Grade",2617,10,33,2273,184,58,25,34,25.69,101.87,"manual",2,7,87
"ASH FORK HIGH SCHOOL","Arizona","www.afjusd.org","AZ ","1-Regular school","2-No","–","43-Rural: Remote",73,"9th Grade","12th Grade",73,0,0,29,1,42,0,1,18.25,4,"manual",58,1,40
"ASHDOWN HIGH SCHOOL","Arkansas","www.ashdownschools.org","AR ","1-Regular school","2-No","2-No","32-Town: Distant",420,"9th Grade","12th Grade",420,4,0,12,133,254,0,17,11.78,35.65,"handbook",60,32,3
"ASHER HS","Oklahoma","www.asher.k12.ok.us","OK ","1-Regular school","2-No",NA,"43-Rural: Remote",71,"9th Grade","12th Grade",71,23,0,7,1,40,0,0,12.26,5.79,"appearance",56,1,10
"ASHLEY HIGH SCHOOL","Michigan","www.ashleyschools.net","MI ","1-Regular school","2-No","2-No","42-Rural: Distant",95,"9th Grade","12th Grade",95,0,0,3,0,91,0,1,16.24,5.85,"manual",96,0,3
"ASSETS","Texas","www.alvinisd.net/Domain/30","TX ","1-Regular school","2-No","2-No","21-Suburb: Large",228,"9th Grade","12th Grade",228,4,1,103,7,108,1,4,14.3,15.94,"handbook",47,3,45
"ASTORIA SENIOR HIGH SCHOOL","Oregon","www.astoria.k12.or.us/","OR ","1-Regular school","2-No",NA,"33-Town: Remote",595,"9th Grade","12th Grade",595,6,16,83,2,454,6,28,20.86,28.53,"handbook",76,0,14
"ATASCADERO HIGH","California","www.atasusd.org","CA ","1-Regular school","2-No","2-No","23-Suburb: Small",1331,"9th Grade","12th Grade",1331,15,35,373,21,865,5,17,20.78,64.05," dress",65,2,28
"ATHENA HIGH SCHOOL","New York","www.greececsd.org","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",1152,"9th Grade","12th Grade",1152,1,39,114,173,810,NA,15,12.99,88.69,"guide",70,15,10
"ATHENS H S","Texas","www.athensisd.net","TX ","1-Regular school","2-No","2-No","32-Town: Distant",952,"9th Grade","12th Grade",952,2,4,421,123,372,1,29,15.54,61.27,"handbook",39,13,44
"ATHENS HIGH","Wisconsin","www.athens1.org","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",191,"9th Grade","12th Grade",191,1,2,5,0,181,0,2,13.71,13.93,"guide",95,0,3
"ATHOL HIGH","Massachusetts","www.arrsd.org","MA ","1-Regular school","2-No","2-No","31-Town: Fringe",358,"9th Grade","12th Grade",358,0,2,17,8,328,0,3,12.19,29.36,"handbook",92,2,5
"ATLANTA H S","Texas","www.atlisd.net","TX ","1-Regular school","2-No","2-No","32-Town: Distant",545,"9th Grade","12th Grade",545,2,2,42,164,326,1,8,13.31,40.96,"handbook",60,30,8
"ATLANTIC TECHNICAL COLLEGE","Florida","http://www.browardschools.com","FL ","3-Vocational school","2-No","1-Yes","21-Suburb: Large",652,"9th Grade","12th Grade",652,2,36,185,300,103,0,26,5.17,126,"guide",16,46,28
"AUBREY H S","Texas","aubreyisd.net","TX ","1-Regular school","2-No","2-No","41-Rural: Fringe",623,"9th Grade","12th Grade",623,4,4,117,25,465,0,8,15.96,39.03," dress",75,4,19
"AUBURN HIGH","Virginia","http://ahs.mcps.org","VA ","1-Regular school","2-No","2-No","41-Rural: Fringe",417,"9th Grade","12th Grade",417,0,0,11,3,399,1,3,12.8,32.58,"handbook",96,1,3
"AUBURN SENIOR HIGH","Massachusetts","www.auburn.k12.ma.us","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",769,"9th Grade","12th Grade",769,2,33,41,20,651,0,22,12.53,61.37,"guide",85,3,5
"AUBURNDALE SENIOR HIGH SCHOOL","Florida","http://www.auburndalehighschool.com/","FL ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",1645,"9th Grade","12th Grade",1645,8,8,339,318,929,1,42,20.82,79,"guide",56,19,21
"AUGSBURG FAIRVIEW ACADEMY","Minnesota","http://www.afa.tc","MN ","1-Regular school","1-Yes","2-No","11-City: Large",144,"9th Grade","12th Grade",144,24,0,15,82,3,0,20,11.93,12.07,"guide",2,57,10
"AUSTIN CAN ACADEMY","Texas","www.texanscan.org","TX ","4-Alternative/other school","1-Yes","2-No","11-City: Large",402,"9th Grade","12th Grade",402,0,9,330,55,7,0,1,19.35,20.77,"guide",2,14,82
