ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
A L BROWN HIGH,North Carolina,www.kannapolis.k12.nc.us/ALBrown/index.html,NC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1457,9th Grade,12th Grade,1457,2,26,336,440,573,="0",80,15.29,95.30
A MACEO SMITH NEW TECH H S,Texas,www.dallasisd.org/newtech,TX ,1-Regular school,2-No,2-No,11-City: Large,433,9th Grade,12th Grade,433,="0",2,299,115,12,1,4,16.65,26.00
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,1457,9th Grade,12th Grade,1457,4,78,881,440,23,–,31,19.93,73.09
A W BEATTIE CAREER CENTER,Pennsylvania,http://www.beattietech.com,PA ,3-Vocational school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",29.00
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,www.spokaneschools.org,WA ,1-Regular school,2-No,–,12-City: Mid-size,20,9th Grade,12th Grade,20,="0",="0",2,="0",14,="0",4,6.45,3.10
A-C CENTRAL HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,129,9th Grade,12th Grade,129,1,="0",4,5,119,="0",="0",9.07,14.23
A. C. FLORA HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,21-Suburb: Large,1413,9th Grade,12th Grade,1413,1,16,89,563,697,1,46,15.88,89.00
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,http://www.bay.k12.fl.us/,FL ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1721,9th Grade,12th Grade,1721,7,29,99,155,1358,3,70,22.06,78.00
A. I. PRINCE TECHNICAL HIGH SCHOOL,Connecticut,www.cttech.org/PRINCE/index.htm,CT ,3-Vocational school,2-No,2-No,12-City: Mid-size,768,9th Grade,12th Grade,768,2,11,480,203,63,2,7,10.25,74.90
AAEC - PARADISE VALLEY,Arizona,†,AZ ,1-Regular school,1-Yes,–,11-City: Large,406,9th Grade,12th Grade,406,3,11,45,14,325,2,6,–,–
AAEC - SMCC CAMPUS,Arizona,†,AZ ,1-Regular school,1-Yes,–,11-City: Large,434,9th Grade,12th Grade,434,2,3,340,48,38,2,1,–,–
ABBEVILLE HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,41-Rural: Fringe,508,9th Grade,12th Grade,508,="0",2,14,230,250,="0",12,15.39,33.00
ABBEVILLE HIGH SCHOOL,Louisiana,†,LA ,1-Regular school,2-No,2-No,31-Town: Fringe,657,9th Grade,12th Grade,657,="0",47,38,306,243,="0",23,–,†
ABBOTT HOUSE HIGH SCHOOL - 07,South Dakota,mitchellschools.org,SD ,1-Regular school,2-No,†,33-Town: Remote,17,9th Grade,12th Grade,17,12,="0",="0",="0",4,="0",1,–,–
ABERDEEN HIGH,Maryland,http://www.hcps.org/schools/high/aberdeen.aspx,MD ,1-Regular school,2-No,1-Yes,22-Suburb: Mid-size,1453,9th Grade,12th Grade,1453,3,63,138,515,593,4,137,15.24,95.33
ABERDEEN HIGH SCHOOL,Mississippi,†,MS ,1-Regular school,2-No,2-No,33-Town: Remote,332,9th Grade,12th Grade,332,="0",="0",1,319,10,="0",2,7.06,47.03
ABERDEEN HIGH SCHOOL,Idaho,†,ID ,1-Regular school,2-No,2-No,42-Rural: Distant,199,9th Grade,12th Grade,199,2,="0",118,="0",79,="0",="0",12.92,15.40
ABERNATHY H S,Texas,www.abernathyisd.com,TX ,1-Regular school,2-No,2-No,31-Town: Fringe,216,9th Grade,12th Grade,216,="0",1,107,1,104,="0",3,8.93,24.19
ABILENE H S,Texas,www.abileneisd.org,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,2015,9th Grade,12th Grade,2015,7,19,928,267,731,="0",63,15.23,132.30
ABILENE HIGH SCHOOL,Kansas,http://www.abileneschools.org,KS ,1-Regular school,2-No,2-No,32-Town: Distant,524,9th Grade,12th Grade,524,2,="0",27,11,466,="0",18,12.94,40.50
ABINGDON HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,23-Suburb: Small,900,9th Grade,12th Grade,900,3,6,37,17,817,1,19,15.52,58.00
ABINGDON-AVON HIGH SCH,Illinois,†,IL ,1-Regular school,2-No,2-No,33-Town: Remote,264,9th Grade,12th Grade,264,1,1,4,2,250,="0",6,13.20,20.00
ABINGTON HEIGHTS HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1044,9th Grade,12th Grade,1044,="0",50,16,20,952,="0",6,13.50,77.33
ABINGTON HIGH,Massachusetts,www.abingtonps.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,451,9th Grade,12th Grade,451,="0",="0",33,17,388,1,12,11.50,39.21
ABLE CHARTER SCHOOL 9TH-12TH,OKLAHOMA,www.ablecharterschool.com,OK ,1-Regular school,1-Yes,†,11-City: Large,44,9th Grade,12th Grade,44,5,="0",11,4,24,="0",="0",74.58,="0.59"
ABQ CHARTER ACADEMY,New Mexico,http://www.siatechabq.org/,NM ,1-Regular school,1-Yes,†,11-City: Large,305,9th Grade,12th Grade,305,55,2,183,15,39,="0",11,26.18,11.65
ABRAHAM CLARK HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,674,9th Grade,12th Grade,674,="0",7,214,441,11,1,="0",9.23,73.00
ABRAHAM LINCOLN CONTINUATION,California,†,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,198,9th Grade,12th Grade,198,="0",3,178,8,6,1,2,16.50,12.00
ABRAHAM LINCOLN HIGH,California,†,CA ,1-Regular school,2-No,2-No,11-City: Large,1903,9th Grade,12th Grade,1903,11,107,1387,63,291,9,35,22.74,83.67
ABRAHAM LINCOLN HIGH SCHOOL,Colorado,http://lincolnlancers.org,CO ,1-Regular school,2-No,2-No,11-City: Large,1393,9th Grade,12th Grade,1393,15,46,1260,35,32,="0",5,15.83,88.02
ABRAHAM LINCOLN HIGH SCHOOL,Iowa,www.council-bluffs.k12.ia.us,IA ,1-Regular school,2-No,†,13-City: Small,1244,9th Grade,12th Grade,1244,10,13,117,24,1043,2,35,15.63,79.58
ABRAHAM LINCOLN HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,2114,9th Grade,12th Grade,2114,13,345,492,858,390,–,16,18.61,113.62
ABRAHAM LINCOLN SENIOR HIGH,California,www.lincolnhs.org,CA ,1-Regular school,2-No,1-Yes,11-City: Large,1030,9th Grade,12th Grade,1030,2,250,748,14,9,1,6,19.80,52.01
ABRAXAS CONTINUATION HIGH,California,www.powayusd.com/pusdahs,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,248,9th Grade,12th Grade,248,3,21,71,15,120,1,17,14.59,17.00
ABRAXIS CHARTER,California,†,CA ,1-Regular school,1-Yes,2-No,12-City: Mid-size,41,9th Grade,12th Grade,41,="0",="0",30,3,6,="0",2,13.67,3.00
ABSAROKEE HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,43-Rural: Remote,87,9th Grade,12th Grade,87,2,="0",6,1,76,="0",2,11.36,7.66
ABSEGAMI HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,22-Suburb: Mid-size,1340,9th Grade,12th Grade,1340,1,203,247,242,629,4,14,11.75,114.00
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,http://dymallyhs-lausd-ca.schoolloop.com,CA ,1-Regular school,2-No,2-No,11-City: Large,703,9th Grade,12th Grade,703,1,1,529,166,5,="0",1,24.81,28.34
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,†,MI ,4-Alternative/other school,1-Yes,2-No,41-Rural: Fringe,179,9th Grade,12th Grade,179,1,3,8,5,162,="0",="0",25.61,6.99
ACADEMIC ARTS HIGH SCHOOL,Minnesota,http://www.academic-arts.org,MN ,1-Regular school,1-Yes,2-No,21-Suburb: Large,94,9th Grade,12th Grade,94,="0",3,19,7,64,="0",1,13.41,7.01
ACADEMIC EXCELLENCE ONLINE,MINNESOTA,http://www.academicexcellenceonline.org,MN ,1-Regular school,2-No,2-No,13-City: Small,12,9th Grade,12th Grade,12,2,="0",="0",="0",10,="0",="0",1.75,6.84
ACADEMIC MAGNET HIGH,South Carolina,†,SC ,1-Regular school,2-No,1-Yes,12-City: Mid-size,647,9th Grade,12th Grade,647,5,47,19,17,542,2,15,15.30,42.30
ACADEMIC SOLUTIONS HIGH SCHOOL,Florida,www.asacharterschools.org,FL ,4-Alternative/other school,1-Yes,2-No,21-Suburb: Large,239,9th Grade,12th Grade,239,2,4,55,127,40,3,8,39.83,6.00
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,California,†,CA ,1-Regular school,2-No,2-No,13-City: Small,563,9th Grade,12th Grade,563,1,133,287,100,12,25,5,26.71,21.08
ACADEMY AT PALUMBO,Pennsylvania,†,PA ,1-Regular school,2-No,1-Yes,11-City: Large,883,9th Grade,12th Grade,883,3,231,80,410,113,="0",46,67.92,13.00
ACADEMY CHARTER HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,1-Yes,†,21-Suburb: Large,183,9th Grade,12th Grade,183,="0",="0",31,149,3,="0",="0",11.44,16.00
ACADEMY FOR ALLIED HEALTH SCIENCES,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,282,9th Grade,12th Grade,282,3,69,41,41,126,="0",2,13.40,21.04
ACADEMY FOR ARTS/SCIENCE/TECHNOLOGY,South Carolina,†,SC ,3-Vocational school,2-No,1-Yes,22-Suburb: Mid-size,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",42.50
ACADEMY FOR CAREER EXPLORATION,Rhode Island,†,RI ,4-Alternative/other school,1-Yes,†,12-City: Mid-size,201,9th Grade,12th Grade,201,1,2,163,30,4,="0",1,14.15,14.20
ACADEMY FOR CAREERS AND TECHNOLOGY,South Carolina,†,SC ,3-Vocational school,2-No,2-No,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",9.00
ACADEMY FOR CAREERS IN TELEVISION AND FILM,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,545,9th Grade,12th Grade,545,3,34,293,86,109,–,20,16.10,33.86
ACADEMY FOR COMMUNITY EDUCATION (ACE),Florida,http://ace.dadeschools.net,FL ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,93,9th Grade,12th Grade,93,="0",="0",28,63,2,="0",="0",9.30,10.00
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,289,9th Grade,12th Grade,289,="0",11,29,240,8,–,1,12.60,22.94
ACADEMY FOR INFORMATION TECHNOLOGY,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,275,9th Grade,12th Grade,275,1,61,43,24,137,3,6,12.10,22.73
ACADEMY FOR LANGUAGE AND TECHNOLOGY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,311,9th Grade,12th Grade,311,="0",="0",310,1,="0",–,="0",13.59,22.89
ACADEMY FOR LAW AND PUBLIC SAFETY,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,48,9th Grade,12th Grade,48,="0",3,5,1,39,="0",="0",48.00,1.00
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Utah,http://www.ames-slc.org/,UT ,1-Regular school,1-Yes,1-Yes,21-Suburb: Large,508,9th Grade,12th Grade,508,15,51,130,25,240,39,8,–,–
ACADEMY FOR MATHEMATICS SCIENCE AND ENGINEERING,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,97,9th Grade,12th Grade,97,="0",72,1,1,22,1,="0",–,–
ACADEMY FOR PERFORMING ARTS,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,190,9th Grade,12th Grade,190,1,6,50,30,100,1,2,12.18,15.60
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,388,9th Grade,12th Grade,388,7,14,123,238,5,–,1,15.25,25.44
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),New Hampshire,www.asdnh.org,NH ,1-Regular school,1-Yes,2-No,13-City: Small,169,9th Grade,12th Grade,169,1,28,4,1,135,="0",="0",19.20,8.80
ACADEMY FOR SECONDARY EDUCATION,Illinois,†,IL ,4-Alternative/other school,2-No,2-No,33-Town: Remote,12,9th Grade,12th Grade,12,="0",="0",="0",1,11,="0",="0",5.94,2.02
ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,170,9th Grade,12th Grade,170,1,3,78,78,8,–,2,11.46,14.84
ACADEMY FOR TECHNOLOGY AND ACADEMICS,South Carolina,†,SC ,3-Vocational school,2-No,2-No,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",46.00
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,www.abileneisd.org,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,369,9th Grade,12th Grade,369,1,5,140,21,188,="0",14,17.56,21.01
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,†,NJ ,1-Regular school,1-Yes,†,21-Suburb: Large,393,9th Grade,12th Grade,393,="0",2,367,21,2,1,="0",11.23,35.00
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,www.ausohio.com,OH ,1-Regular school,1-Yes,–,13-City: Small,161,9th Grade,12th Grade,161,="0",="0",3,151,5,="0",2,53.67,3.00
ACADEMY H S,Texas,www.academyisd.net,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,406,9th Grade,12th Grade,406,3,6,94,10,286,="0",7,13.32,30.47
ACADEMY HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,21-Suburb: Large,404,9th Grade,12th Grade,404,5,5,319,7,59,2,7,23.76,17.00
ACADEMY OF ALLIED HEALTH AND SCIENCE,New Jersey,†,NJ ,3-Vocational school,2-No,†,21-Suburb: Large,295,9th Grade,12th Grade,295,="0",77,8,13,194,2,1,11.80,25.00
ACADEMY OF AMERICAN STUDIES,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,895,9th Grade,12th Grade,895,1,256,298,70,262,–,8,22.12,40.46
ACADEMY OF ART  CAREERS AND TECHNOLOGY,Nevada,†,NV ,1-Regular school,2-No,1-Yes,12-City: Mid-size,524,9th Grade,12th Grade,524,6,22,146,2,316,1,31,18.39,28.50
ACADEMY OF ARTS AND ACADEMICS,Oregon,a3school.org/,OR ,1-Regular school,1-Yes,†,22-Suburb: Mid-size,357,9th Grade,12th Grade,357,9,3,25,2,277,="0",41,25.72,13.88
ACADEMY OF ARTS AND SCIENCES,California,www.sotacad.org/,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,318,9th Grade,12th Grade,318,3,89,124,40,43,2,17,19.35,16.43
ACADEMY OF ARTS AND SCIENCES: LOS ANGELES (9-12),CALIFORNIA,www.aascalifornia.org,CA ,1-Regular school,1-Yes,2-No,11-City: Large,29,9th Grade,12th Grade,29,="0",1,9,2,12,1,4,9.42,3.08
ACADEMY OF BUILDING INDUSTRIES,Arizona,†,AZ ,1-Regular school,1-Yes,–,33-Town: Remote,99,9th Grade,12th Grade,99,="0",="0",17,2,79,="0",1,–,–
ACADEMY OF CAREER EDUCATION CHARTER SCHOOL,Nevada,†,NV ,1-Regular school,1-Yes,2-No,12-City: Mid-size,198,9th Grade,12th Grade,198,1,1,67,3,113,="0",13,–,–
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,Texas,†,TX ,4-Alternative/other school,1-Yes,2-No,11-City: Large,193,9th Grade,12th Grade,193,="0",="0",148,24,19,="0",2,20.62,9.36
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,Washington,†,WA ,1-Regular school,2-No,–,21-Suburb: Large,450,9th Grade,12th Grade,450,4,60,197,92,45,26,26,17.48,25.75
ACADEMY OF CONST AND ENGINEERING,Washington,†,WA ,1-Regular school,2-No,–,22-Suburb: Mid-size,374,9th Grade,12th Grade,374,13,29,92,5,196,9,30,23.22,16.11
ACADEMY OF ENVIRON. SCIENCES,Florida,http://aes.citrusschools.org/,FL ,1-Regular school,1-Yes,1-Yes,41-Rural: Fringe,92,9th Grade,12th Grade,92,2,1,3,="0",83,="0",3,15.33,6.00
ACADEMY OF FINANCE AND ENTERPRISE,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,512,9th Grade,12th Grade,512,9,119,267,39,77,–,1,20.24,25.30
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,†,MD ,1-Regular school,2-No,1-Yes,21-Suburb: Large,407,9th Grade,12th Grade,407,3,40,54,286,13,1,10,27.13,15.00
ACADEMY OF INNOVATIVE TECHNOLOGY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,404,9th Grade,12th Grade,404,4,20,179,189,5,–,7,10.80,37.42
ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN),Oregon,woodburn.schoolfusion.us/,OR ,1-Regular school,2-No,†,31-Town: Fringe,268,9th Grade,12th Grade,268,1,="0",254,="0",12,1,="0",16.44,16.30
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,†,CA ,1-Regular school,2-No,2-No,13-City: Small,510,9th Grade,12th Grade,510,1,224,200,45,9,21,10,24.88,20.50
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,1-Yes,12-City: Mid-size,1339,9th Grade,12th Grade,1339,2,13,45,1044,160,32,43,18.60,72.00
ACADEMY OF SCIENCE AND ENGINEERING,California,www.discoverase.net,CA ,1-Regular school,1-Yes,2-No,11-City: Large,226,9th Grade,12th Grade,226,="0",="0",189,37,="0",="0",="0",18.52,12.20
ACADEMY OF TECHNOLOGY DESIGN,New Jersey,†,NJ ,3-Vocational school,2-No,†,11-City: Large,161,9th Grade,12th Grade,161,="0",22,82,35,21,1,="0",50.31,3.20
ACADEMY OF THE CANYONS,California,www.hartdistrict.org,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,395,9th Grade,12th Grade,395,="0",121,90,8,156,="0",20,33.19,11.90
ACADEMY OF THE REDWOODS,California,http://ar.fuhsdistrict.org,CA ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,178,9th Grade,12th Grade,178,8,11,30,="0",122,="0",7,40.45,4.40
ACADEMY OF TRADES AND TECH,New Mexico,http://www.atths.com/home.html,NM ,1-Regular school,1-Yes,†,11-City: Large,144,9th Grade,12th Grade,144,11,="0",116,1,16,="0",="0",15.91,9.05
ACADEMY OF TUCSON HIGH SCHOOL,Arizona,†,AZ ,1-Regular school,1-Yes,–,11-City: Large,152,9th Grade,12th Grade,152,1,1,30,8,104,2,6,–,–
ACADEMY OF URBAN LEARNING,Colorado,auldenver.org,CO ,1-Regular school,1-Yes,2-No,11-City: Large,126,9th Grade,12th Grade,126,4,="0",107,10,3,="0",2,19.75,6.38
ACADEMY OF URBAN PLANNING,New York,www.aupnyc.org,NY ,1-Regular school,2-No,–,11-City: Large,234,9th Grade,12th Grade,234,="0",1,173,54,3,–,3,10.66,21.96
ACADEMY PARK HS,Pennsylvania,http://www.sedelco.org,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,1203,9th Grade,12th Grade,1203,="0",22,41,870,245,="0",25,15.78,76.25
ACADEMY WITH COMMUNITY PARTNERS,Arizona,www.acpathope.org,AZ ,1-Regular school,1-Yes,–,11-City: Large,132,9th Grade,12th Grade,132,3,="0",74,11,38,2,4,–,–
ACALANES CENTER FOR INDEPENDENT STUDY,California,www.acalanes.k12.ca.us,CA ,4-Alternative/other school,2-No,2-No,13-City: Small,39,9th Grade,12th Grade,39,="0",3,7,1,26,1,1,11.47,3.40
ACALANES HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1423,9th Grade,12th Grade,1423,="0",162,110,12,1025,5,109,20.56,69.20
ACCELERATED ACHIEVEMENT ACADEMY OF CINCINNATI,Ohio,†,OH ,1-Regular school,1-Yes,–,11-City: Large,99,9th Grade,12th Grade,99,="0",="0",4,86,4,="0",5,21.38,4.63
ACCELERATED LEARNING CENTER,Arizona,†,AZ ,1-Regular school,1-Yes,–,11-City: Large,204,9th Grade,12th Grade,204,7,1,34,1,154,="0",7,–,–
ACCELERATION ACADEMY,WASHINGTON,†,WA ,4-Alternative/other school,2-No,–,21-Suburb: Large,139,9th Grade,12th Grade,139,3,3,20,24,78,2,9,–,–
ACE CHARTER HIGH,California,www.acecharter.org,CA ,1-Regular school,1-Yes,2-No,11-City: Large,267,9th Grade,12th Grade,267,="0",1,261,="0",2,="0",3,17.80,15.00
